Date,Open,High,Low,Close
12/31/2018,"2.87563%","2.87563%","2.87563%","2.87563%"
12/28/2018,"2.87313%","2.87313%","2.87313%","2.87313%"
12/27/2018,"2.88300%","2.88300%","2.88300%","2.88300%"
12/26/2018,"2.89375%","2.89375%","2.89375%","2.89375%"
12/24/2018,"2.89375%","2.89375%","2.89375%","2.89375%"
12/21/2018,"2.90788%","2.90788%","2.90788%","2.90788%"
12/20/2018,"2.90000%","2.90000%","2.90000%","2.90000%"
12/19/2018,"2.87088%","2.87088%","2.87088%","2.87088%"
12/18/2018,"2.87638%","2.87638%","2.87638%","2.87638%"
12/17/2018,"2.90463%","2.90463%","2.90463%","2.90463%"
12/14/2018,"2.90056%","2.90056%","2.90056%","2.90056%"
12/13/2018,"2.90088%","2.90088%","2.90088%","2.90088%"
12/12/2018,"2.89225%","2.89225%","2.89225%","2.89225%"
12/11/2018,"2.88063%","2.88063%","2.88063%","2.88063%"
12/10/2018,"2.87788%","2.87788%","2.87788%","2.87788%"
12/07/2018,"2.88581%","2.88581%","2.88581%","2.88581%"
12/06/2018,"2.88906%","2.88906%","2.88906%","2.88906%"
12/04/2018,"2.89638%","2.89638%","2.89638%","2.89638%"
12/03/2018,"2.89525%","2.89525%","2.89525%","2.89525%"
11/30/2018,"2.89463%","2.89463%","2.89463%","2.89463%"
11/29/2018,"2.88519%","2.88519%","2.88519%","2.88519%"
11/28/2018,"2.88663%","2.88663%","2.88663%","2.88663%"
11/27/2018,"2.88444%","2.88444%","2.88444%","2.88444%"
11/26/2018,"2.89275%","2.89275%","2.89275%","2.89275%"
11/23/2018,"2.88625%","2.88625%","2.88625%","2.88625%"
11/21/2018,"2.88588%","2.88588%","2.88588%","2.88588%"
11/20/2018,"2.86325%","2.86325%","2.86325%","2.86325%"
11/19/2018,"2.86575%","2.86575%","2.86575%","2.86575%"
11/16/2018,"2.86263%","2.86263%","2.86263%","2.86263%"
11/15/2018,"2.86019%","2.86019%","2.86019%","2.86019%"
11/14/2018,"2.86344%","2.86344%","2.86344%","2.86344%"
11/13/2018,"2.85500%","2.85500%","2.85500%","2.85500%"
11/12/2018,"2.85538%","2.85538%","2.85538%","2.85538%"
11/09/2018,"2.85800%","2.85800%","2.85800%","2.85800%"
11/08/2018,"2.85763%","2.85763%","2.85763%","2.85763%"
11/07/2018,"2.84350%","2.84350%","2.84350%","2.84350%"
11/06/2018,"2.84150%","2.84150%","2.84150%","2.84150%"
11/05/2018,"2.83575%","2.83575%","2.83575%","2.83575%"
11/02/2018,"2.82888%","2.82888%","2.82888%","2.82888%"
11/01/2018,"2.81650%","2.81650%","2.81650%","2.81650%"
10/31/2018,"2.80013%","2.80013%","2.80013%","2.80013%"
10/30/2018,"2.79625%","2.79625%","2.79625%","2.79625%"
10/29/2018,"2.78175%","2.78175%","2.78175%","2.78175%"
10/26/2018,"2.77675%","2.77675%","2.77675%","2.77675%"
