Date,Open,High,Low,Close
12/31/2019,"1.91213%","1.91213%","1.91213%","1.91213%"
12/30/2019,"1.90875%","1.90875%","1.90875%","1.90875%"
12/27/2019,"1.92075%","1.92075%","1.92075%","1.92075%"
12/24/2019,"1.92125%","1.92125%","1.92125%","1.92125%"
12/23/2019,"1.92438%","1.92438%","1.92438%","1.92438%"
12/20/2019,"1.92050%","1.92050%","1.92050%","1.92050%"
12/19/2019,"1.91625%","1.91625%","1.91625%","1.91625%"
12/18/2019,"1.90488%","1.90488%","1.90488%","1.90488%"
12/17/2019,"1.90463%","1.90463%","1.90463%","1.90463%"
12/16/2019,"1.89338%","1.89338%","1.89338%","1.89338%"
12/13/2019,"1.90288%","1.90288%","1.90288%","1.90288%"
12/12/2019,"1.88638%","1.88638%","1.88638%","1.88638%"
12/11/2019,"1.88825%","1.88825%","1.88825%","1.88825%"
12/10/2019,"1.87863%","1.87863%","1.87863%","1.87863%"
12/09/2019,"1.88013%","1.88013%","1.88013%","1.88013%"
12/06/2019,"1.88675%","1.88675%","1.88675%","1.88675%"
12/05/2019,"1.88813%","1.88813%","1.88813%","1.88813%"
12/04/2019,"1.88750%","1.88750%","1.88750%","1.88750%"
12/03/2019,"1.89538%","1.89538%","1.89538%","1.89538%"
12/02/2019,"1.90613%","1.90613%","1.90613%","1.90613%"
11/29/2019,"1.89688%","1.89688%","1.89688%","1.89688%"
11/28/2019,"1.89513%","1.89513%","1.89513%","1.89513%"
11/27/2019,"1.90688%","1.90688%","1.90688%","1.90688%"
11/26/2019,"1.91425%","1.91425%","1.91425%","1.91425%"
11/25/2019,"1.91913%","1.91913%","1.91913%","1.91913%"
11/22/2019,"1.90725%","1.90725%","1.90725%","1.90725%"
11/21/2019,"1.89350%","1.89350%","1.89350%","1.89350%"
11/20/2019,"1.89113%","1.89113%","1.89113%","1.89113%"
11/19/2019,"1.90700%","1.90700%","1.90700%","1.90700%"
11/18/2019,"1.91888%","1.91888%","1.91888%","1.91888%"
11/15/2019,"1.91850%","1.91850%","1.91850%","1.91850%"
11/14/2019,"1.92163%","1.92163%","1.92163%","1.92163%"
11/13/2019,"1.92225%","1.92225%","1.92225%","1.92225%"
11/12/2019,"1.92613%","1.92613%","1.92613%","1.92613%"
11/11/2019,"1.92300%","1.92300%","1.92300%","1.92300%"
11/08/2019,"1.92300%","1.92300%","1.92300%","1.92300%"
11/07/2019,"1.92263%","1.92263%","1.92263%","1.92263%"
11/06/2019,"1.92388%","1.92388%","1.92388%","1.92388%"
11/05/2019,"1.92625%","1.92625%","1.92625%","1.92625%"
11/04/2019,"1.92463%","1.92463%","1.92463%","1.92463%"
11/01/2019,"1.90238%","1.90238%","1.90238%","1.90238%"
10/31/2019,"1.91625%","1.91625%","1.91625%","1.91625%"
10/30/2019,"1.91950%","1.91950%","1.91950%","1.91950%"
10/29/2019,"1.92988%","1.92988%","1.92988%","1.92988%"
10/28/2019,"1.93988%","1.93988%","1.93988%","1.93988%"
10/25/2019,"1.93325%","1.93325%","1.93325%","1.93325%"
10/24/2019,"1.93200%","1.93200%","1.93200%","1.93200%"
10/23/2019,"1.91400%","1.91400%","1.91400%","1.91400%"
10/22/2019,"1.93250%","1.93250%","1.93250%","1.93250%"
10/21/2019,"1.93425%","1.93425%","1.93425%","1.93425%"
10/18/2019,"1.95175%","1.95175%","1.95175%","1.95175%"
