Date,Open,High,Low,Close
12/31/2018,"3.00544%","3.00544%","3.00544%","3.00544%"
12/28/2018,"3.01313%","3.01313%","3.01313%","3.01313%"
12/27/2018,"3.03238%","3.03238%","3.03238%","3.03238%"
12/24/2018,"3.04788%","3.04788%","3.04788%","3.04788%"
12/21/2018,"3.07313%","3.07313%","3.07313%","3.07313%"
12/20/2018,"3.06544%","3.06544%","3.06544%","3.06544%"
12/19/2018,"3.05275%","3.05275%","3.05275%","3.05275%"
12/18/2018,"3.06131%","3.06131%","3.06131%","3.06131%"
12/17/2018,"3.10388%","3.10388%","3.10388%","3.10388%"
12/14/2018,"3.09769%","3.09769%","3.09769%","3.09769%"
12/13/2018,"3.11238%","3.11238%","3.11238%","3.11238%"
12/12/2018,"3.10125%","3.10125%","3.10125%","3.10125%"
12/11/2018,"3.08950%","3.08950%","3.08950%","3.08950%"
12/10/2018,"3.08400%","3.08400%","3.08400%","3.08400%"
12/07/2018,"3.10056%","3.10056%","3.10056%","3.10056%"
12/06/2018,"3.11194%","3.11194%","3.11194%","3.11194%"
12/05/2018,"3.12575%","3.12575%","3.12575%","3.12575%"
12/04/2018,"3.13294%","3.13294%","3.13294%","3.13294%"
12/03/2018,"3.13819%","3.13819%","3.13819%","3.13819%"
11/30/2018,"3.12025%","3.12025%","3.12025%","3.12025%"
11/29/2018,"3.11869%","3.11869%","3.11869%","3.11869%"
11/28/2018,"3.13413%","3.13413%","3.13413%","3.13413%"
11/27/2018,"3.13075%","3.13075%","3.13075%","3.13075%"
11/26/2018,"3.12838%","3.12838%","3.12838%","3.12838%"
11/23/2018,"3.12075%","3.12075%","3.12075%","3.12075%"
11/22/2018,"3.10950%","3.10950%","3.10950%","3.10950%"
11/21/2018,"3.11038%","3.11038%","3.11038%","3.11038%"
11/20/2018,"3.09713%","3.09713%","3.09713%","3.09713%"
11/19/2018,"3.10738%","3.10738%","3.10738%","3.10738%"
11/16/2018,"3.12363%","3.12363%","3.12363%","3.12363%"
11/15/2018,"3.11838%","3.11838%","3.11838%","3.11838%"
11/14/2018,"3.12963%","3.12963%","3.12963%","3.12963%"
11/13/2018,"3.13206%","3.13206%","3.13206%","3.13206%"
11/12/2018,"3.13475%","3.13475%","3.13475%","3.13475%"
11/09/2018,"3.14413%","3.14413%","3.14413%","3.14413%"
11/08/2018,"3.14075%","3.14075%","3.14075%","3.14075%"
11/07/2018,"3.12513%","3.12513%","3.12513%","3.12513%"
11/06/2018,"3.11638%","3.11638%","3.11638%","3.11638%"
11/05/2018,"3.11688%","3.11688%","3.11688%","3.11688%"
11/02/2018,"3.10488%","3.10488%","3.10488%","3.10488%"
