Date,Open,High,Low,Close
12/31/2020,"0.25763%","0.25763%","0.25763%","0.25763%"
12/30/2020,"0.25950%","0.25950%","0.25950%","0.25950%"
12/29/2020,"0.25713%","0.25713%","0.25713%","0.25713%"
12/24/2020,"0.26663%","0.26663%","0.26663%","0.26663%"
12/23/2020,"0.26375%","0.26375%","0.26375%","0.26375%"
12/22/2020,"0.26275%","0.26275%","0.26275%","0.26275%"
12/21/2020,"0.26050%","0.26050%","0.26050%","0.26050%"
12/18/2020,"0.25850%","0.25850%","0.25850%","0.25850%"
12/17/2020,"0.26000%","0.26000%","0.26000%","0.26000%"
12/16/2020,"0.25550%","0.25550%","0.25550%","0.25550%"
12/15/2020,"0.25175%","0.25175%","0.25175%","0.25175%"
12/14/2020,"0.24713%","0.24713%","0.24713%","0.24713%"
12/11/2020,"0.24875%","0.24875%","0.24875%","0.24875%"
12/10/2020,"0.24475%","0.24475%","0.24475%","0.24475%"
12/09/2020,"0.25075%","0.25075%","0.25075%","0.25075%"
12/08/2020,"0.25338%","0.25338%","0.25338%","0.25338%"
12/07/2020,"0.25313%","0.25313%","0.25313%","0.25313%"
12/04/2020,"0.25575%","0.25575%","0.25575%","0.25575%"
12/03/2020,"0.25738%","0.25738%","0.25738%","0.25738%"
12/02/2020,"0.25825%","0.25825%","0.25825%","0.25825%"
12/01/2020,"0.25875%","0.25875%","0.25875%","0.25875%"
11/30/2020,"0.25500%","0.25500%","0.25500%","0.25500%"
11/27/2020,"0.25738%","0.25738%","0.25738%","0.25738%"
11/26/2020,"0.25500%","0.25500%","0.25500%","0.25500%"
11/25/2020,"0.26000%","0.26000%","0.26000%","0.26000%"
11/24/2020,"0.25450%","0.25450%","0.25450%","0.25450%"
11/23/2020,"0.25375%","0.25375%","0.25375%","0.25375%"
11/20/2020,"0.24875%","0.24875%","0.24875%","0.24875%"
11/19/2020,"0.25550%","0.25550%","0.25550%","0.25550%"
11/18/2020,"0.25688%","0.25688%","0.25688%","0.25688%"
11/17/2020,"0.25800%","0.25800%","0.25800%","0.25800%"
11/16/2020,"0.24900%","0.24900%","0.24900%","0.24900%"
11/13/2020,"0.24600%","0.24600%","0.24600%","0.24600%"
11/12/2020,"0.25138%","0.25138%","0.25138%","0.25138%"
11/11/2020,"0.24613%","0.24613%","0.24613%","0.24613%"
11/10/2020,"0.24300%","0.24300%","0.24300%","0.24300%"
11/09/2020,"0.24175%","0.24175%","0.24175%","0.24175%"
11/06/2020,"0.24338%","0.24338%","0.24338%","0.24338%"
11/05/2020,"0.24625%","0.24625%","0.24625%","0.24625%"
11/04/2020,"0.24375%","0.24375%","0.24375%","0.24375%"
11/03/2020,"0.24388%","0.24388%","0.24388%","0.24388%"
11/02/2020,"0.24600%","0.24600%","0.24600%","0.24600%"
10/30/2020,"0.24213%","0.24213%","0.24213%","0.24213%"
10/29/2020,"0.24288%","0.24288%","0.24288%","0.24288%"
10/28/2020,"0.24413%","0.24413%","0.24413%","0.24413%"
10/27/2020,"0.24650%","0.24650%","0.24650%","0.24650%"
10/26/2020,"0.24625%","0.24625%","0.24625%","0.24625%"
10/23/2020,"0.24938%","0.24938%","0.24938%","0.24938%"
10/22/2020,"0.24600%","0.24600%","0.24600%","0.24600%"
10/21/2020,"0.24600%","0.24600%","0.24600%","0.24600%"
10/20/2020,"0.25188%","0.25188%","0.25188%","0.25188%"
10/19/2020,"0.25425%","0.25425%","0.25425%","0.25425%"
10/16/2020,"0.25750%","0.25750%","0.25750%","0.25750%"
10/15/2020,"0.25325%","0.25325%","0.25325%","0.25325%"
10/14/2020,"0.25325%","0.25325%","0.25325%","0.25325%"
10/13/2020,"0.25450%","0.25450%","0.25450%","0.25450%"
10/12/2020,"0.24288%","0.24288%","0.24288%","0.24288%"
10/09/2020,"0.24575%","0.24575%","0.24575%","0.24575%"
10/08/2020,"0.24638%","0.24638%","0.24638%","0.24638%"
10/07/2020,"0.25013%","0.25013%","0.25013%","0.25013%"
10/06/2020,"0.23925%","0.23925%","0.23925%","0.23925%"
10/05/2020,"0.23375%","0.23375%","0.23375%","0.23375%"
10/02/2020,"0.24475%","0.24475%","0.24475%","0.24475%"
10/01/2020,"0.25050%","0.25050%","0.25050%","0.25050%"
