Date,Close
2/1/23,4167.35
01/31/2023,4163.45
01/30/2023,4158.63
01/27/2023,4178.01
01/26/2023,4173.98
01/25/2023,4148.11
01/24/2023,4153.02
01/23/2023,4150.82
01/20/2023,4119.90
01/19/2023,4094.28
01/18/2023,4174.34
01/17/2023,4174.33
01/16/2023,4157.00
01/13/2023,4150.80
1/12/23,4126.68
1/11/23,4099.76
1/10/23,4057.46
1/9/23,4068.62
1/6/23,4017.83
1/5/23,3959.48
1/4/23,3973.97
1/3/23,3882.29
1/2/23,3856.09
12/30/2022,3793.62
12/29/2022,3850.07
12/28/2022,3808.82
12/27/2022,3832.89
12/23/2022,3817.01
12/22/2022,3823.29
12/21/2022,3872.15
12/20/2022,3802.49
12/19/2022,3811.24
12/16/2022,3804.02
12/15/2022,3835.70
12/14/2022,3975.26
12/13/2022,3986.83
12/12/22,3921.82
12/9/22,3942.62
12/8/22,3921.27
12/7/22,3920.90
12/6/22,3939.19
12/5/22,3956.53
12/2/22,3977.90
12/1/22,3984.50
11/30/2022,3964.72
11/29/2022,3934.44
11/28/2022,3935.51
11/25/2022,3962.41
11/24/2022,3961.99
11/23/2022,3946.44
11/22/2022,3929.90
11/21/2022,3909.28
11/18/2022,3924.84
11/17/2022,3878.42
11/16/2022,3882.78
11/15/2022,3915.09
11/14/2022,3887.51
11/11/22,3868.50
11/10/22,3846.56
11/9/22,3728.03
11/8/22,3739.28
11/7/22,3708.80
11/4/22,3688.33
11/3/22,3593.18
11/2/22,3622.01
11/1/22,3651.02
10/31/2022,3617.54
10/28/2022,3613.02
10/27/2022,3604.51
10/26/2022,3605.31
10/25/2022,3585.58
10/24/2022,3527.79
10/21/2022,3476.63
10/20/2022,3492.85
10/19/2022,3471.24
10/18/2022,3463.83
10/17/2022,3441.64
10/14/2022,3381.73
10/13/2022,3362.40
10/12/22,3331.53
10/11/22,3340.35
10/10/22,3356.88
10/7/22,3375.46
10/6/22,3433.45
10/5/22,3447.72
10/4/22,3484.48
10/3/22,3342.17
09/30/2022,3318.20
09/29/2022,3279.04
09/28/2022,3335.30
09/27/2022,3328.65
09/26/2022,3342.56
09/23/2022,3348.60
09/22/2022,3427.14
09/21/2022,3491.87
09/20/2022,3467.09
09/19/2022,3499.49
09/16/2022,3500.41
09/15/2022,3541.79
09/14/2022,3567.56
09/13/2022,3586.18
9/12/22,3646.51
9/9/22,3570.04
9/8/22,3512.38
9/7/22,3502.09
9/6/22,3500.14
9/5/22,3490.01
9/2/22,3544.38
9/1/22,3456.70
08/31/2022,3517.25
08/30/2022,3561.92
08/29/2022,3570.51
08/26/2022,3603.68
08/25/2022,3674.54
08/24/2022,3667.46
08/23/2022,3652.52
08/22/2022,3658.22
08/19/2022,3730.32
08/18/2022,3777.38
08/17/2022,3756.06
08/16/2022,3805.22
08/15/2022,3789.62
8/12/22,3776.81
8/11/22,3757.05
8/10/22,3749.35
8/9/22,3715.37
8/8/22,3757.22
