Date,Open,High,Low,Close
12/30/2016,"0.77167%","0.77167%","0.77167%","0.77167%"
12/29/2016,"0.77111%","0.77111%","0.77111%","0.77111%"
12/28/2016,"0.77000%","0.77000%","0.77000%","0.77000%"
12/27/2016,"0.76111%","0.76111%","0.76111%","0.76111%"
12/23/2016,"0.76111%","0.76111%","0.76111%","0.76111%"
12/22/2016,"0.75611%","0.75611%","0.75611%","0.75611%"
12/21/2016,"0.75500%","0.75500%","0.75500%","0.75500%"
12/20/2016,"0.74900%","0.74900%","0.74900%","0.74900%"
12/19/2016,"0.74400%","0.74400%","0.74400%","0.74400%"
12/16/2016,"0.73900%","0.73900%","0.73900%","0.73900%"
12/15/2016,"0.73622%","0.73622%","0.73622%","0.73622%"
12/14/2016,"0.70728%","0.70728%","0.70728%","0.70728%"
12/13/2016,"0.70389%","0.70389%","0.70389%","0.70389%"
12/12/2016,"0.69472%","0.69472%","0.69472%","0.69472%"
12/09/2016,"0.68000%","0.68000%","0.68000%","0.68000%"
12/08/2016,"0.66389%","0.66389%","0.66389%","0.66389%"
12/07/2016,"0.65417%","0.65417%","0.65417%","0.65417%"
12/06/2016,"0.64889%","0.64889%","0.64889%","0.64889%"
12/05/2016,"0.65194%","0.65194%","0.65194%","0.65194%"
12/02/2016,"0.64667%","0.64667%","0.64667%","0.64667%"
12/01/2016,"0.63450%","0.63450%","0.63450%","0.63450%"
11/30/2016,"0.62367%","0.62367%","0.62367%","0.62367%"
11/29/2016,"0.61672%","0.61672%","0.61672%","0.61672%"
11/28/2016,"0.60561%","0.60561%","0.60561%","0.60561%"
11/25/2016,"0.60589%","0.60589%","0.60589%","0.60589%"
11/23/2016,"0.59200%","0.59200%","0.59200%","0.59200%"
11/22/2016,"0.58422%","0.58422%","0.58422%","0.58422%"
11/21/2016,"0.56778%","0.56778%","0.56778%","0.56778%"
11/18/2016,"0.56600%","0.56600%","0.56600%","0.56600%"
11/17/2016,"0.56178%","0.56178%","0.56178%","0.56178%"
11/16/2016,"0.55456%","0.55456%","0.55456%","0.55456%"
11/15/2016,"0.55011%","0.55011%","0.55011%","0.55011%"
11/14/2016,"0.54206%","0.54206%","0.54206%","0.54206%"
11/11/2016,"0.53817%","0.53817%","0.53817%","0.53817%"
11/10/2016,"0.53817%","0.53817%","0.53817%","0.53817%"
11/09/2016,"0.53644%","0.53644%","0.53644%","0.53644%"
11/08/2016,"0.53700%","0.53700%","0.53700%","0.53700%"
11/07/2016,"0.53533%","0.53533%","0.53533%","0.53533%"
11/04/2016,"0.53533%","0.53533%","0.53533%","0.53533%"
11/03/2016,"0.53256%","0.53256%","0.53256%","0.53256%"
11/02/2016,"0.53200%","0.53200%","0.53200%","0.53200%"
11/01/2016,"0.53044%","0.53044%","0.53044%","0.53044%"
10/31/2016,"0.53378%","0.53378%","0.53378%","0.53378%"
10/28/2016,"0.53267%","0.53267%","0.53267%","0.53267%"
10/27/2016,"0.53433%","0.53433%","0.53433%","0.53433%"
10/26/2016,"0.53478%","0.53478%","0.53478%","0.53478%"
10/25/2016,"0.53589%","0.53589%","0.53589%","0.53589%"
10/24/2016,"0.53400%","0.53400%","0.53400%","0.53400%"
10/21/2016,"0.53400%","0.53400%","0.53400%","0.53400%"
10/20/2016,"0.52400%","0.52400%","0.52400%","0.52400%"
10/19/2016,"0.52456%","0.52456%","0.52456%","0.52456%"
10/18/2016,"0.52567%","0.52567%","0.52567%","0.52567%"
10/17/2016,"0.52789%","0.52789%","0.52789%","0.52789%"
10/14/2016,"0.53567%","0.53567%","0.53567%","0.53567%"
10/13/2016,"0.53456%","0.53456%","0.53456%","0.53456%"
10/12/2016,"0.53456%","0.53456%","0.53456%","0.53456%"
10/11/2016,"0.53067%","0.53067%","0.53067%","0.53067%"
