Date,Open,High,Low,Close
12/31/2019,"1.99625%","1.99625%","1.99625%","1.99625%"
12/30/2019,"2.00100%","2.00100%","2.00100%","2.00100%"
12/27/2019,"2.00425%","2.00425%","2.00425%","2.00425%"
12/24/2019,"2.01200%","2.01200%","2.01200%","2.01200%"
12/23/2019,"2.00150%","2.00150%","2.00150%","2.00150%"
12/20/2019,"1.99963%","1.99963%","1.99963%","1.99963%"
12/19/2019,"1.99800%","1.99800%","1.99800%","1.99800%"
12/18/2019,"1.96963%","1.96963%","1.96963%","1.96963%"
12/17/2019,"1.96838%","1.96838%","1.96838%","1.96838%"
12/16/2019,"1.95963%","1.95963%","1.95963%","1.95963%"
12/13/2019,"1.96388%","1.96388%","1.96388%","1.96388%"
12/12/2019,"1.93288%","1.93288%","1.93288%","1.93288%"
12/11/2019,"1.94325%","1.94325%","1.94325%","1.94325%"
12/10/2019,"1.93288%","1.93288%","1.93288%","1.93288%"
12/09/2019,"1.93525%","1.93525%","1.93525%","1.93525%"
12/06/2019,"1.92313%","1.92313%","1.92313%","1.92313%"
12/05/2019,"1.92263%","1.92263%","1.92263%","1.92263%"
12/04/2019,"1.91700%","1.91700%","1.91700%","1.91700%"
12/03/2019,"1.93663%","1.93663%","1.93663%","1.93663%"
12/02/2019,"1.96250%","1.96250%","1.96250%","1.96250%"
11/29/2019,"1.95213%","1.95213%","1.95213%","1.95213%"
11/28/2019,"1.95025%","1.95025%","1.95025%","1.95025%"
11/27/2019,"1.93975%","1.93975%","1.93975%","1.93975%"
11/26/2019,"1.94163%","1.94163%","1.94163%","1.94163%"
11/25/2019,"1.94175%","1.94175%","1.94175%","1.94175%"
11/22/2019,"1.91488%","1.91488%","1.91488%","1.91488%"
11/21/2019,"1.90863%","1.90863%","1.90863%","1.90863%"
11/20/2019,"1.90925%","1.90925%","1.90925%","1.90925%"
11/19/2019,"1.94163%","1.94163%","1.94163%","1.94163%"
11/18/2019,"1.95338%","1.95338%","1.95338%","1.95338%"
11/15/2019,"1.96100%","1.96100%","1.96100%","1.96100%"
11/14/2019,"1.97113%","1.97113%","1.97113%","1.97113%"
11/13/2019,"1.98700%","1.98700%","1.98700%","1.98700%"
11/12/2019,"2.00563%","2.00563%","2.00563%","2.00563%"
11/11/2019,"1.99413%","1.99413%","1.99413%","1.99413%"
11/08/2019,"1.99975%","1.99975%","1.99975%","1.99975%"
11/07/2019,"1.98300%","1.98300%","1.98300%","1.98300%"
11/06/2019,"1.97663%","1.97663%","1.97663%","1.97663%"
11/05/2019,"1.96688%","1.96688%","1.96688%","1.96688%"
11/04/2019,"1.96000%","1.96000%","1.96000%","1.96000%"
11/01/2019,"1.92525%","1.92525%","1.92525%","1.92525%"
10/31/2019,"1.95538%","1.95538%","1.95538%","1.95538%"
10/30/2019,"1.97988%","1.97988%","1.97988%","1.97988%"
10/29/2019,"1.98875%","1.98875%","1.98875%","1.98875%"
10/28/2019,"1.99525%","1.99525%","1.99525%","1.99525%"
10/25/2019,"1.95575%","1.95575%","1.95575%","1.95575%"
10/24/2019,"1.96088%","1.96088%","1.96088%","1.96088%"
10/23/2019,"1.94275%","1.94275%","1.94275%","1.94275%"
10/22/2019,"1.96725%","1.96725%","1.96725%","1.96725%"
10/21/2019,"1.96063%","1.96063%","1.96063%","1.96063%"
10/18/2019,"1.98725%","1.98725%","1.98725%","1.98725%"
10/17/2019,"1.99313%","1.99313%","1.99313%","1.99313%"
10/16/2019,"1.99225%","1.99225%","1.99225%","1.99225%"
10/15/2019,"1.97413%","1.97413%","1.97413%","1.97413%"
10/14/2019,"1.97313%","1.97313%","1.97313%","1.97313%"
10/11/2019,"1.95550%","1.95550%","1.95550%","1.95550%"
10/10/2019,"1.89600%","1.89600%","1.89600%","1.89600%"
10/09/2019,"1.88188%","1.88188%","1.88188%","1.88188%"
10/08/2019,"1.88850%","1.88850%","1.88850%","1.88850%"
10/07/2019,"1.86775%","1.86775%","1.86775%","1.86775%"
10/04/2019,"1.85313%","1.85313%","1.85313%","1.85313%"
10/03/2019,"1.91425%","1.91425%","1.91425%","1.91425%"
10/02/2019,"1.95825%","1.95825%","1.95825%","1.95825%"
10/01/2019,"2.03550%","2.03550%","2.03550%","2.03550%"
09/30/2019,"2.03213%","2.03213%","2.03213%","2.03213%"
09/27/2019,"2.04325%","2.04325%","2.04325%","2.04325%"
09/26/2019,"2.02013%","2.02013%","2.02013%","2.02013%"
09/25/2019,"1.98500%","1.98500%","1.98500%","1.98500%"
09/24/2019,"2.02925%","2.02925%","2.02925%","2.02925%"
09/23/2019,"2.03338%","2.03338%","2.03338%","2.03338%"
09/20/2019,"2.06500%","2.06500%","2.06500%","2.06500%"
09/19/2019,"2.07413%","2.07413%","2.07413%","2.07413%"
09/18/2019,"2.06450%","2.06450%","2.06450%","2.06450%"
09/17/2019,"2.06538%","2.06538%","2.06538%","2.06538%"
09/16/2019,"2.06963%","2.06963%","2.06963%","2.06963%"
09/13/2019,"2.04913%","2.04913%","2.04913%","2.04913%"
09/12/2019,"2.00563%","2.00563%","2.00563%","2.00563%"
09/11/2019,"2.00863%","2.00863%","2.00863%","2.00863%"
09/10/2019,"1.97038%","1.97038%","1.97038%","1.97038%"
09/09/2019,"1.94875%","1.94875%","1.94875%","1.94875%"
09/06/2019,"1.94900%","1.94900%","1.94900%","1.94900%"
09/05/2019,"1.89100%","1.89100%","1.89100%","1.89100%"
09/04/2019,"1.89688%","1.89688%","1.89688%","1.89688%"
09/03/2019,"1.93638%","1.93638%","1.93638%","1.93638%"
09/02/2019,"1.94938%","1.94938%","1.94938%","1.94938%"
08/30/2019,"1.97400%","1.97400%","1.97400%","1.97400%"
08/29/2019,"1.96138%","1.96138%","1.96138%","1.96138%"
08/28/2019,"1.94938%","1.94938%","1.94938%","1.94938%"
08/27/2019,"1.94938%","1.94938%","1.94938%","1.94938%"
08/23/2019,"2.02850%","2.02850%","2.02850%","2.02850%"
08/22/2019,"1.97325%","1.97325%","1.97325%","1.97325%"
08/21/2019,"1.95425%","1.95425%","1.95425%","1.95425%"
08/20/2019,"1.94850%","1.94850%","1.94850%","1.94850%"
08/19/2019,"1.95325%","1.95325%","1.95325%","1.95325%"
08/16/2019,"1.94500%","1.94500%","1.94500%","1.94500%"
08/15/2019,"1.93250%","1.93250%","1.93250%","1.93250%"
08/14/2019,"2.02900%","2.02900%","2.02900%","2.02900%"
08/13/2019,"1.97013%","1.97013%","1.97013%","1.97013%"
08/12/2019,"1.99063%","1.99063%","1.99063%","1.99063%"
08/09/2019,"1.98788%","1.98788%","1.98788%","1.98788%"
08/08/2019,"1.99300%","1.99300%","1.99300%","1.99300%"
08/07/2019,"1.97700%","1.97700%","1.97700%","1.97700%"
08/06/2019,"1.99413%","1.99413%","1.99413%","1.99413%"
08/05/2019,"2.03675%","2.03675%","2.03675%","2.03675%"
08/02/2019,"2.11588%","2.11588%","2.11588%","2.11588%"
08/01/2019,"2.23850%","2.23850%","2.23850%","2.23850%"
07/31/2019,"2.18863%","2.18863%","2.18863%","2.18863%"
07/30/2019,"2.18850%","2.18850%","2.18850%","2.18850%"
07/29/2019,"2.19800%","2.19800%","2.19800%","2.19800%"
07/26/2019,"2.19663%","2.19663%","2.19663%","2.19663%"
07/25/2019,"2.17888%","2.17888%","2.17888%","2.17888%"
07/24/2019,"2.17950%","2.17950%","2.17950%","2.17950%"
07/23/2019,"2.19125%","2.19125%","2.19125%","2.19125%"
07/22/2019,"2.18838%","2.18838%","2.18838%","2.18838%"
07/19/2019,"2.15775%","2.15775%","2.15775%","2.15775%"
07/18/2019,"2.19213%","2.19213%","2.19213%","2.19213%"
07/17/2019,"2.21700%","2.21700%","2.21700%","2.21700%"
07/16/2019,"2.21088%","2.21088%","2.21088%","2.21088%"
07/15/2019,"2.21050%","2.21050%","2.21050%","2.21050%"
07/12/2019,"2.23113%","2.23113%","2.23113%","2.23113%"
07/11/2019,"2.19325%","2.19325%","2.19325%","2.19325%"
07/10/2019,"2.28575%","2.28575%","2.28575%","2.28575%"
07/09/2019,"2.27350%","2.27350%","2.27350%","2.27350%"
07/08/2019,"2.26150%","2.26150%","2.26150%","2.26150%"
07/05/2019,"2.19163%","2.19163%","2.19163%","2.19163%"
07/04/2019,"2.17938%","2.17938%","2.17938%","2.17938%"
07/03/2019,"2.18038%","2.18038%","2.18038%","2.18038%"
07/02/2019,"2.20313%","2.20313%","2.20313%","2.20313%"
07/01/2019,"2.20188%","2.20188%","2.20188%","2.20188%"
06/28/2019,"2.17813%","2.17813%","2.17813%","2.17813%"
06/27/2019,"2.18463%","2.18463%","2.18463%","2.18463%"
06/26/2019,"2.18325%","2.18325%","2.18325%","2.18325%"
06/25/2019,"2.14738%","2.14738%","2.14738%","2.14738%"
06/24/2019,"2.17875%","2.17875%","2.17875%","2.17875%"
06/21/2019,"2.20213%","2.20213%","2.20213%","2.20213%"
06/20/2019,"2.16150%","2.16150%","2.16150%","2.16150%"
06/19/2019,"2.29775%","2.29775%","2.29775%","2.29775%"
06/18/2019,"2.26438%","2.26438%","2.26438%","2.26438%"
06/17/2019,"2.28675%","2.28675%","2.28675%","2.28675%"
06/14/2019,"2.24650%","2.24650%","2.24650%","2.24650%"
06/13/2019,"2.30563%","2.30563%","2.30563%","2.30563%"
06/12/2019,"2.33300%","2.33300%","2.33300%","2.33300%"
06/11/2019,"2.34325%","2.34325%","2.34325%","2.34325%"
06/10/2019,"2.33763%","2.33763%","2.33763%","2.33763%"
06/07/2019,"2.34613%","2.34613%","2.34613%","2.34613%"
06/06/2019,"2.34763%","2.34763%","2.34763%","2.34763%"
06/05/2019,"2.38250%","2.38250%","2.38250%","2.38250%"
06/04/2019,"2.40525%","2.40525%","2.40525%","2.40525%"
06/03/2019,"2.41338%","2.41338%","2.41338%","2.41338%"
05/31/2019,"2.51025%","2.51025%","2.51025%","2.51025%"
