Date,Open,High,Low,Close
12/30/2022,"4.76729%","4.76729%","4.76729%","4.76729%"
12/29/2022,"4.75386%","4.75386%","4.75386%","4.75386%"
12/28/2022,"4.72986%","4.72986%","4.72986%","4.72986%"
12/27/2022,"4.72643%","4.72643%","4.72643%","4.72643%"
12/23/2022,"4.72643%","4.72643%","4.72643%","4.72643%"
12/22/2022,"4.72386%","4.72386%","4.72386%","4.72386%"
12/21/2022,"4.72900%","4.72900%","4.72900%","4.72900%"
12/20/2022,"4.75257%","4.75257%","4.75257%","4.75257%"
12/19/2022,"4.73829%","4.73829%","4.73829%","4.73829%"
12/16/2022,"4.74586%","4.74586%","4.74586%","4.74586%"
12/15/2022,"4.73771%","4.73771%","4.73771%","4.73771%"
12/14/2022,"4.73629%","4.73629%","4.73629%","4.73629%"
12/13/2022,"4.76900%","4.76900%","4.76900%","4.76900%"
12/12/2022,"4.75271%","4.75271%","4.75271%","4.75271%"
12/09/2022,"4.73314%","4.73314%","4.73314%","4.73314%"
12/08/2022,"4.73514%","4.73514%","4.73514%","4.73514%"
12/07/2022,"4.72343%","4.72343%","4.72343%","4.72343%"
12/06/2022,"4.73457%","4.73457%","4.73457%","4.73457%"
12/05/2022,"4.72343%","4.72343%","4.72343%","4.72343%"
12/02/2022,"4.73257%","4.73257%","4.73257%","4.73257%"
12/01/2022,"4.76500%","4.76500%","4.76500%","4.76500%"
11/30/2022,"4.77857%","4.77857%","4.77857%","4.77857%"
11/29/2022,"4.76057%","4.76057%","4.76057%","4.76057%"
11/28/2022,"4.73486%","4.73486%","4.73486%","4.73486%"
11/25/2022,"4.73386%","4.73386%","4.73386%","4.73386%"
11/24/2022,"4.73629%","4.73629%","4.73629%","4.73629%"
11/23/2022,"4.75729%","4.75729%","4.75729%","4.75729%"
11/22/2022,"4.69871%","4.69871%","4.69871%","4.69871%"
11/21/2022,"4.69186%","4.69186%","4.69186%","4.69186%"
11/18/2022,"4.66486%","4.66486%","4.66486%","4.66486%"
11/17/2022,"4.67543%","4.67543%","4.67543%","4.67543%"
11/16/2022,"4.67429%","4.67429%","4.67429%","4.67429%"
11/15/2022,"4.64971%","4.64971%","4.64971%","4.64971%"
11/14/2022,"4.64386%","4.64386%","4.64386%","4.64386%"
11/11/2022,"4.60614%","4.60614%","4.60614%","4.60614%"
11/10/2022,"4.64971%","4.64971%","4.64971%","4.64971%"
11/09/2022,"4.63000%","4.63000%","4.63000%","4.63000%"
11/08/2022,"4.59200%","4.59200%","4.59200%","4.59200%"
11/07/2022,"4.55729%","4.55729%","4.55729%","4.55729%"
11/04/2022,"4.55029%","4.55029%","4.55029%","4.55029%"
11/03/2022,"4.53157%","4.53157%","4.53157%","4.53157%"
11/02/2022,"4.50843%","4.50843%","4.50843%","4.50843%"
11/01/2022,"4.45971%","4.45971%","4.45971%","4.45971%"
10/31/2022,"4.46029%","4.46029%","4.46029%","4.46029%"
10/28/2022,"4.43957%","4.43957%","4.43957%","4.43957%"
10/27/2022,"4.41471%","4.41471%","4.41471%","4.41471%"
10/26/2022,"4.37386%","4.37386%","4.37386%","4.37386%"
10/25/2022,"4.35800%","4.35800%","4.35800%","4.35800%"
10/24/2022,"4.32686%","4.32686%","4.32686%","4.32686%"
10/21/2022,"4.35843%","4.35843%","4.35843%","4.35843%"
10/20/2022,"4.32457%","4.32457%","4.32457%","4.32457%"
10/19/2022,"4.27757%","4.27757%","4.27757%","4.27757%"
10/18/2022,"4.24257%","4.24257%","4.24257%","4.24257%"
10/17/2022,"4.22657%","4.22657%","4.22657%","4.22657%"
10/14/2022,"4.19371%","4.19371%","4.19371%","4.19371%"
10/13/2022,"4.07914%","4.07914%","4.07914%","4.07914%"
10/12/2022,"4.01086%","4.01086%","4.01086%","4.01086%"
10/11/2022,"3.94071%","3.94071%","3.94071%","3.94071%"
10/10/2022,"3.91914%","3.91914%","3.91914%","3.91914%"
10/07/2022,"3.90871%","3.90871%","3.90871%","3.90871%"
10/06/2022,"3.82571%","3.82571%","3.82571%","3.82571%"
10/05/2022,"3.78400%","3.78400%","3.78400%","3.78400%"
10/04/2022,"3.74071%","3.74071%","3.74071%","3.74071%"
10/03/2022,"3.74829%","3.74829%","3.74829%","3.74829%"
09/30/2022,"3.75471%","3.75471%","3.75471%","3.75471%"
09/29/2022,"3.74286%","3.74286%","3.74286%","3.74286%"
09/28/2022,"3.67414%","3.67414%","3.67414%","3.67414%"
09/27/2022,"3.64186%","3.64186%","3.64186%","3.64186%"
09/26/2022,"3.64086%","3.64086%","3.64086%","3.64086%"
09/23/2022,"3.62843%","3.62843%","3.62843%","3.62843%"
09/22/2022,"3.64143%","3.64143%","3.64143%","3.64143%"
09/21/2022,"3.60386%","3.60386%","3.60386%","3.60386%"
09/20/2022,"3.60171%","3.60171%","3.60171%","3.60171%"
09/19/2022,"3.56529%","3.56529%","3.56529%","3.56529%"
09/16/2022,"3.56529%","3.56529%","3.56529%","3.56529%"
09/15/2022,"3.52714%","3.52714%","3.52714%","3.52714%"
09/14/2022,"3.48343%","3.48343%","3.48343%","3.48343%"
09/13/2022,"3.29257%","3.29257%","3.29257%","3.29257%"
09/12/2022,"3.27014%","3.27014%","3.27014%","3.27014%"
09/09/2022,"3.24543%","3.24543%","3.24543%","3.24543%"
09/08/2022,"3.23571%","3.23571%","3.23571%","3.23571%"
09/07/2022,"3.19400%","3.19400%","3.19400%","3.19400%"
09/06/2022,"3.16786%","3.16786%","3.16786%","3.16786%"
09/05/2022,"3.14486%","3.14486%","3.14486%","3.14486%"
09/02/2022,"3.15814%","3.15814%","3.15814%","3.15814%"
09/01/2022,"3.14414%","3.14414%","3.14414%","3.14414%"
08/31/2022,"3.09971%","3.09971%","3.09971%","3.09971%"
08/30/2022,"3.08214%","3.08214%","3.08214%","3.08214%"
08/29/2022,"3.06957%","3.06957%","3.06957%","3.06957%"
08/26/2022,"3.06957%","3.06957%","3.06957%","3.06957%"
08/25/2022,"3.04314%","3.04314%","3.04314%","3.04314%"
08/24/2022,"3.01000%","3.01000%","3.01000%","3.01000%"
08/23/2022,"2.99686%","2.99686%","2.99686%","2.99686%"
08/22/2022,"2.97971%","2.97971%","2.97971%","2.97971%"
08/19/2022,"2.95771%","2.95771%","2.95771%","2.95771%"
08/18/2022,"2.98400%","2.98400%","2.98400%","2.98400%"
08/17/2022,"2.97657%","2.97657%","2.97657%","2.97657%"
08/16/2022,"2.96057%","2.96057%","2.96057%","2.96057%"
08/15/2022,"2.94186%","2.94186%","2.94186%","2.94186%"
08/12/2022,"2.92157%","2.92157%","2.92157%","2.92157%"
08/11/2022,"2.90514%","2.90514%","2.90514%","2.90514%"
08/10/2022,"2.92271%","2.92271%","2.92271%","2.92271%"
08/09/2022,"2.92100%","2.92100%","2.92100%","2.92100%"
08/08/2022,"2.91157%","2.91157%","2.91157%","2.91157%"
08/05/2022,"2.86671%","2.86671%","2.86671%","2.86671%"
08/04/2022,"2.86329%","2.86329%","2.86329%","2.86329%"
08/03/2022,"2.83229%","2.83229%","2.83229%","2.83229%"
08/02/2022,"2.80700%","2.80700%","2.80700%","2.80700%"
08/01/2022,"2.80214%","2.80214%","2.80214%","2.80214%"
07/29/2022,"2.78829%","2.78829%","2.78829%","2.78829%"
07/28/2022,"2.78229%","2.78229%","2.78229%","2.78229%"
07/27/2022,"2.80586%","2.80586%","2.80586%","2.80586%"
07/26/2022,"2.79286%","2.79286%","2.79286%","2.79286%"
07/25/2022,"2.76929%","2.76929%","2.76929%","2.76929%"
07/22/2022,"2.76629%","2.76629%","2.76629%","2.76629%"
07/21/2022,"2.78300%","2.78300%","2.78300%","2.78300%"
07/20/2022,"2.75900%","2.75900%","2.75900%","2.75900%"
07/19/2022,"2.73171%","2.73171%","2.73171%","2.73171%"
07/18/2022,"2.70986%","2.70986%","2.70986%","2.70986%"
07/15/2022,"2.73757%","2.73757%","2.73757%","2.73757%"
07/14/2022,"2.74029%","2.74029%","2.74029%","2.74029%"
07/13/2022,"2.51200%","2.51200%","2.51200%","2.51200%"
07/12/2022,"2.48300%","2.48300%","2.48300%","2.48300%"
07/11/2022,"2.45514%","2.45514%","2.45514%","2.45514%"
07/08/2022,"2.42300%","2.42300%","2.42300%","2.42300%"
07/07/2022,"2.42757%","2.42757%","2.42757%","2.42757%"
07/06/2022,"2.39057%","2.39057%","2.39057%","2.39057%"
07/05/2022,"2.34829%","2.34829%","2.34829%","2.34829%"
07/04/2022,"2.32171%","2.32171%","2.32171%","2.32171%"
07/01/2022,"2.29286%","2.29286%","2.29286%","2.29286%"
06/30/2022,"2.28514%","2.28514%","2.28514%","2.28514%"
06/29/2022,"2.27714%","2.27714%","2.27714%","2.27714%"
06/28/2022,"2.25043%","2.25043%","2.25043%","2.25043%"
06/27/2022,"2.23157%","2.23157%","2.23157%","2.23157%"
06/24/2022,"2.23443%","2.23443%","2.23443%","2.23443%"
06/23/2022,"2.19729%","2.19729%","2.19729%","2.19729%"
06/22/2022,"2.18457%","2.18457%","2.18457%","2.18457%"
06/21/2022,"2.15443%","2.15443%","2.15443%","2.15443%"
06/20/2022,"2.12343%","2.12343%","2.12343%","2.12343%"
06/17/2022,"2.09586%","2.09586%","2.09586%","2.09586%"
06/16/2022,"2.06343%","2.06343%","2.06343%","2.06343%"
06/15/2022,"2.02957%","2.02957%","2.02957%","2.02957%"
06/14/2022,"2.00329%","2.00329%","2.00329%","2.00329%"
06/13/2022,"1.82886%","1.82886%","1.82886%","1.82886%"
06/10/2022,"1.74471%","1.74471%","1.74471%","1.74471%"
06/09/2022,"1.72129%","1.72129%","1.72129%","1.72129%"
06/08/2022,"1.68771%","1.68771%","1.68771%","1.68771%"
06/07/2022,"1.69043%","1.69043%","1.69043%","1.69043%"
06/06/2022,"1.66500%","1.66500%","1.66500%","1.66500%"
06/03/2022,"1.62600%","1.62600%","1.62600%","1.62600%"
06/02/2022,"1.62600%","1.62600%","1.62600%","1.62600%"
06/01/2022,"1.62600%","1.62600%","1.62600%","1.62600%"
05/31/2022,"1.61071%","1.61071%","1.61071%","1.61071%"
05/30/2022,"1.58043%","1.58043%","1.58043%","1.58043%"
05/27/2022,"1.59786%","1.59786%","1.59786%","1.59786%"
