Date,Open,High,Low,Close
12/31/2020,"0.14388%","0.14388%","0.14388%","0.14388%"
12/30/2020,"0.14400%","0.14400%","0.14400%","0.14400%"
12/29/2020,"0.14675%","0.14675%","0.14675%","0.14675%"
12/24/2020,"0.14513%","0.14513%","0.14513%","0.14513%"
12/23/2020,"0.14800%","0.14800%","0.14800%","0.14800%"
12/22/2020,"0.14325%","0.14325%","0.14325%","0.14325%"
12/21/2020,"0.14525%","0.14525%","0.14525%","0.14525%"
12/18/2020,"0.14375%","0.14375%","0.14375%","0.14375%"
12/17/2020,"0.15163%","0.15163%","0.15163%","0.15163%"
12/16/2020,"0.15788%","0.15788%","0.15788%","0.15788%"
12/15/2020,"0.15250%","0.15250%","0.15250%","0.15250%"
12/14/2020,"0.15313%","0.15313%","0.15313%","0.15313%"
12/11/2020,"0.15863%","0.15863%","0.15863%","0.15863%"
12/10/2020,"0.15388%","0.15388%","0.15388%","0.15388%"
12/09/2020,"0.14788%","0.14788%","0.14788%","0.14788%"
12/08/2020,"0.14875%","0.14875%","0.14875%","0.14875%"
12/07/2020,"0.14575%","0.14575%","0.14575%","0.14575%"
12/04/2020,"0.15175%","0.15175%","0.15175%","0.15175%"
12/03/2020,"0.15275%","0.15275%","0.15275%","0.15275%"
12/02/2020,"0.15213%","0.15213%","0.15213%","0.15213%"
12/01/2020,"0.14763%","0.14763%","0.14763%","0.14763%"
11/30/2020,"0.15338%","0.15338%","0.15338%","0.15338%"
11/27/2020,"0.15475%","0.15475%","0.15475%","0.15475%"
11/26/2020,"0.14675%","0.14675%","0.14675%","0.14675%"
11/25/2020,"0.14550%","0.14550%","0.14550%","0.14550%"
11/24/2020,"0.14300%","0.14300%","0.14300%","0.14300%"
11/23/2020,"0.15013%","0.15013%","0.15013%","0.15013%"
11/20/2020,"0.15013%","0.15013%","0.15013%","0.15013%"
11/19/2020,"0.14550%","0.14550%","0.14550%","0.14550%"
11/18/2020,"0.14650%","0.14650%","0.14650%","0.14650%"
11/17/2020,"0.14950%","0.14950%","0.14950%","0.14950%"
11/16/2020,"0.14350%","0.14350%","0.14350%","0.14350%"
11/13/2020,"0.13638%","0.13638%","0.13638%","0.13638%"
11/12/2020,"0.14088%","0.14088%","0.14088%","0.14088%"
11/11/2020,"0.14138%","0.14138%","0.14138%","0.14138%"
11/10/2020,"0.14013%","0.14013%","0.14013%","0.14013%"
11/09/2020,"0.12988%","0.12988%","0.12988%","0.12988%"
11/06/2020,"0.12775%","0.12775%","0.12775%","0.12775%"
11/05/2020,"0.12663%","0.12663%","0.12663%","0.12663%"
11/04/2020,"0.13613%","0.13613%","0.13613%","0.13613%"
11/03/2020,"0.13763%","0.13763%","0.13763%","0.13763%"
11/02/2020,"0.14050%","0.14050%","0.14050%","0.14050%"
10/30/2020,"0.14025%","0.14025%","0.14025%","0.14025%"
10/29/2020,"0.14913%","0.14913%","0.14913%","0.14913%"
10/28/2020,"0.14775%","0.14775%","0.14775%","0.14775%"
10/27/2020,"0.14463%","0.14463%","0.14463%","0.14463%"
10/26/2020,"0.15150%","0.15150%","0.15150%","0.15150%"
10/23/2020,"0.15625%","0.15625%","0.15625%","0.15625%"
10/22/2020,"0.14925%","0.14925%","0.14925%","0.14925%"
10/21/2020,"0.14788%","0.14788%","0.14788%","0.14788%"
10/20/2020,"0.14575%","0.14575%","0.14575%","0.14575%"
10/19/2020,"0.14338%","0.14338%","0.14338%","0.14338%"
10/16/2020,"0.15138%","0.15138%","0.15138%","0.15138%"
10/15/2020,"0.14725%","0.14725%","0.14725%","0.14725%"
10/14/2020,"0.14575%","0.14575%","0.14575%","0.14575%"
10/13/2020,"0.14838%","0.14838%","0.14838%","0.14838%"
10/12/2020,"0.14425%","0.14425%","0.14425%","0.14425%"
10/09/2020,"0.14525%","0.14525%","0.14525%","0.14525%"
10/08/2020,"0.14688%","0.14688%","0.14688%","0.14688%"
10/07/2020,"0.14700%","0.14700%","0.14700%","0.14700%"
10/06/2020,"0.13963%","0.13963%","0.13963%","0.13963%"
10/05/2020,"0.14275%","0.14275%","0.14275%","0.14275%"
10/02/2020,"0.14000%","0.14000%","0.14000%","0.14000%"
10/01/2020,"0.13950%","0.13950%","0.13950%","0.13950%"
09/30/2020,"0.14825%","0.14825%","0.14825%","0.14825%"
09/29/2020,"0.14900%","0.14900%","0.14900%","0.14900%"
09/28/2020,"0.14663%","0.14663%","0.14663%","0.14663%"
09/25/2020,"0.14613%","0.14613%","0.14613%","0.14613%"
09/24/2020,"0.14475%","0.14475%","0.14475%","0.14475%"
09/23/2020,"0.14813%","0.14813%","0.14813%","0.14813%"
09/22/2020,"0.15113%","0.15113%","0.15113%","0.15113%"
09/21/2020,"0.15188%","0.15188%","0.15188%","0.15188%"
09/18/2020,"0.15575%","0.15575%","0.15575%","0.15575%"
09/17/2020,"0.15625%","0.15625%","0.15625%","0.15625%"
09/16/2020,"0.15000%","0.15000%","0.15000%","0.15000%"
09/15/2020,"0.15050%","0.15050%","0.15050%","0.15050%"
09/14/2020,"0.15213%","0.15213%","0.15213%","0.15213%"
09/11/2020,"0.15238%","0.15238%","0.15238%","0.15238%"
09/10/2020,"0.15113%","0.15113%","0.15113%","0.15113%"
09/09/2020,"0.15125%","0.15125%","0.15125%","0.15125%"
09/08/2020,"0.15550%","0.15550%","0.15550%","0.15550%"
09/07/2020,"0.15563%","0.15563%","0.15563%","0.15563%"
09/04/2020,"0.15425%","0.15425%","0.15425%","0.15425%"
09/03/2020,"0.15863%","0.15863%","0.15863%","0.15863%"
09/02/2020,"0.15475%","0.15475%","0.15475%","0.15475%"
09/01/2020,"0.15563%","0.15563%","0.15563%","0.15563%"
08/28/2020,"0.15675%","0.15675%","0.15675%","0.15675%"
08/27/2020,"0.15513%","0.15513%","0.15513%","0.15513%"
08/26/2020,"0.15638%","0.15638%","0.15638%","0.15638%"
08/25/2020,"0.17025%","0.17025%","0.17025%","0.17025%"
08/24/2020,"0.17425%","0.17425%","0.17425%","0.17425%"
08/21/2020,"0.17513%","0.17513%","0.17513%","0.17513%"
08/20/2020,"0.18325%","0.18325%","0.18325%","0.18325%"
08/19/2020,"0.17088%","0.17088%","0.17088%","0.17088%"
08/18/2020,"0.15800%","0.15800%","0.15800%","0.15800%"
08/17/2020,"0.16138%","0.16138%","0.16138%","0.16138%"
08/14/2020,"0.15150%","0.15150%","0.15150%","0.15150%"
08/13/2020,"0.16188%","0.16188%","0.16188%","0.16188%"
08/12/2020,"0.15800%","0.15800%","0.15800%","0.15800%"
08/11/2020,"0.16413%","0.16413%","0.16413%","0.16413%"
08/10/2020,"0.16825%","0.16825%","0.16825%","0.16825%"
08/07/2020,"0.16338%","0.16338%","0.16338%","0.16338%"
08/06/2020,"0.15538%","0.15538%","0.15538%","0.15538%"
08/05/2020,"0.15350%","0.15350%","0.15350%","0.15350%"
08/04/2020,"0.14925%","0.14925%","0.14925%","0.14925%"
08/03/2020,"0.15700%","0.15700%","0.15700%","0.15700%"
07/31/2020,"0.15488%","0.15488%","0.15488%","0.15488%"
07/30/2020,"0.15563%","0.15563%","0.15563%","0.15563%"
