Date,Open,High,Low,Close
12/30/2016,"0.69211%","0.69211%","0.69211%","0.69211%"
12/29/2016,"0.68822%","0.68822%","0.68822%","0.68822%"
12/28/2016,"0.68656%","0.68656%","0.68656%","0.68656%"
12/27/2016,"0.69378%","0.69378%","0.69378%","0.69378%"
12/23/2016,"0.69378%","0.69378%","0.69378%","0.69378%"
12/22/2016,"0.68656%","0.68656%","0.68656%","0.68656%"
12/21/2016,"0.68600%","0.68600%","0.68600%","0.68600%"
12/20/2016,"0.68378%","0.68378%","0.68378%","0.68378%"
12/19/2016,"0.68111%","0.68111%","0.68111%","0.68111%"
12/16/2016,"0.68389%","0.68389%","0.68389%","0.68389%"
12/15/2016,"0.67889%","0.67889%","0.67889%","0.67889%"
12/14/2016,"0.43867%","0.43867%","0.43867%","0.43867%"
12/13/2016,"0.43700%","0.43700%","0.43700%","0.43700%"
12/12/2016,"0.43700%","0.43700%","0.43700%","0.43700%"
12/09/2016,"0.43422%","0.43422%","0.43422%","0.43422%"
12/08/2016,"0.43311%","0.43311%","0.43311%","0.43311%"
12/07/2016,"0.43367%","0.43367%","0.43367%","0.43367%"
12/06/2016,"0.43422%","0.43422%","0.43422%","0.43422%"
12/05/2016,"0.43478%","0.43478%","0.43478%","0.43478%"
12/02/2016,"0.43478%","0.43478%","0.43478%","0.43478%"
12/01/2016,"0.43422%","0.43422%","0.43422%","0.43422%"
11/30/2016,"0.43056%","0.43056%","0.43056%","0.43056%"
11/29/2016,"0.43422%","0.43422%","0.43422%","0.43422%"
11/28/2016,"0.43422%","0.43422%","0.43422%","0.43422%"
11/25/2016,"0.43478%","0.43478%","0.43478%","0.43478%"
11/23/2016,"0.43422%","0.43422%","0.43422%","0.43422%"
11/22/2016,"0.43367%","0.43367%","0.43367%","0.43367%"
11/21/2016,"0.43367%","0.43367%","0.43367%","0.43367%"
11/18/2016,"0.43367%","0.43367%","0.43367%","0.43367%"
11/17/2016,"0.43456%","0.43456%","0.43456%","0.43456%"
11/16/2016,"0.43289%","0.43289%","0.43289%","0.43289%"
11/15/2016,"0.43289%","0.43289%","0.43289%","0.43289%"
11/14/2016,"0.43344%","0.43344%","0.43344%","0.43344%"
11/11/2016,"0.43233%","0.43233%","0.43233%","0.43233%"
11/10/2016,"0.43233%","0.43233%","0.43233%","0.43233%"
11/09/2016,"0.43233%","0.43233%","0.43233%","0.43233%"
11/08/2016,"0.43400%","0.43400%","0.43400%","0.43400%"
11/07/2016,"0.43456%","0.43456%","0.43456%","0.43456%"
11/04/2016,"0.43511%","0.43511%","0.43511%","0.43511%"
11/03/2016,"0.43678%","0.43678%","0.43678%","0.43678%"
11/02/2016,"0.43733%","0.43733%","0.43733%","0.43733%"
11/01/2016,"0.43456%","0.43456%","0.43456%","0.43456%"
10/31/2016,"0.43344%","0.43344%","0.43344%","0.43344%"
10/28/2016,"0.43544%","0.43544%","0.43544%","0.43544%"
10/27/2016,"0.43489%","0.43489%","0.43489%","0.43489%"
10/26/2016,"0.43433%","0.43433%","0.43433%","0.43433%"
10/25/2016,"0.43433%","0.43433%","0.43433%","0.43433%"
10/24/2016,"0.43211%","0.43211%","0.43211%","0.43211%"
10/21/2016,"0.43322%","0.43322%","0.43322%","0.43322%"
10/20/2016,"0.43322%","0.43322%","0.43322%","0.43322%"
10/19/2016,"0.43378%","0.43378%","0.43378%","0.43378%"
10/18/2016,"0.43322%","0.43322%","0.43322%","0.43322%"
10/17/2016,"0.43322%","0.43322%","0.43322%","0.43322%"
10/14/2016,"0.43044%","0.43044%","0.43044%","0.43044%"
10/13/2016,"0.43100%","0.43100%","0.43100%","0.43100%"
10/12/2016,"0.42878%","0.42878%","0.42878%","0.42878%"
10/11/2016,"0.42767%","0.42767%","0.42767%","0.42767%"
10/10/2016,"0.42656%","0.42656%","0.42656%","0.42656%"
10/07/2016,"0.42656%","0.42656%","0.42656%","0.42656%"
10/06/2016,"0.42878%","0.42878%","0.42878%","0.42878%"
10/05/2016,"0.42822%","0.42822%","0.42822%","0.42822%"
10/04/2016,"0.42433%","0.42433%","0.42433%","0.42433%"
10/03/2016,"0.42267%","0.42267%","0.42267%","0.42267%"
09/30/2016,"0.42378%","0.42378%","0.42378%","0.42378%"
09/29/2016,"0.41989%","0.41989%","0.41989%","0.41989%"
09/28/2016,"0.42063%","0.42063%","0.42063%","0.42063%"
09/27/2016,"0.42544%","0.42544%","0.42544%","0.42544%"
09/26/2016,"0.42433%","0.42433%","0.42433%","0.42433%"
