Date,Close
4-Jan-10,5500.34
5-Jan-10,5522.5
6-Jan-10,5530.04
7-Jan-10,5526.72
8-Jan-10,5534.24
11-Jan-10,5538.07
12-Jan-10,5498.71
13-Jan-10,5473.48
14-Jan-10,5498.2
15-Jan-10,5455.37
18-Jan-10,5494.39
19-Jan-10,5513.14
20-Jan-10,5420.8
21-Jan-10,5335.1
22-Jan-10,5302.99
25-Jan-10,5260.31
26-Jan-10,5276.85
27-Jan-10,5217.47
28-Jan-10,5145.74
29-Jan-10,5188.52
1-Feb-10,5247.41
2-Feb-10,5283.31
3-Feb-10,5253.15
4-Feb-10,5139.31
5-Feb-10,5060.92
8-Feb-10,5092.33
9-Feb-10,5111.84
10-Feb-10,5131.99
11-Feb-10,5161.48
12-Feb-10,5142.45
15-Feb-10,5167.47
16-Feb-10,5244.06
17-Feb-10,5276.64
18-Feb-10,5325.09
19-Feb-10,5358.17
22-Feb-10,5352.07
23-Feb-10,5315.09
24-Feb-10,5342.92
25-Feb-10,5278.23
26-Feb-10,5354.52
1-Mar-10,5405.94
2-Mar-10,5484.06
3-Mar-10,5533.21
4-Mar-10,5527.16
5-Mar-10,5599.76
8-Mar-10,5606.72
9-Mar-10,5602.3
10-Mar-10,5640.57
11-Mar-10,5617.26
12-Mar-10,5625.65
15-Mar-10,5593.85
16-Mar-10,5620.43
17-Mar-10,5644.63
18-Mar-10,5642.62
19-Mar-10,5650.13
22-Mar-10,5644.54
23-Mar-10,5673.63
24-Mar-10,5677.88
25-Mar-10,5727.65
26-Mar-10,5703.02
29-Mar-10,5710.66
30-Mar-10,5672.32
31-Mar-10,5679.64
1-Apr-10,5744.89
6-Apr-10,5780.35
7-Apr-10,5762.06
8-Apr-10,5712.7
9-Apr-10,5770.98
12-Apr-10,5777.65
13-Apr-10,5761.66
14-Apr-10,5796.25
15-Apr-10,5825.01
16-Apr-10,5743.96
19-Apr-10,5727.91
20-Apr-10,5783.69
21-Apr-10,5723.43
22-Apr-10,5665.33
23-Apr-10,5723.65
26-Apr-10,5753.85
27-Apr-10,5603.52
28-Apr-10,5586.61
29-Apr-10,5617.84
30-Apr-10,5553.29
4-May-10,5411.11
5-May-10,5341.93
6-May-10,5260.99
7-May-10,5123.02
10-May-10,5387.42
11-May-10,5334.21
12-May-10,5383.45
13-May-10,5433.73
14-May-10,5262.85
17-May-10,5262.54
18-May-10,5307.34
19-May-10,5158.08
20-May-10,5073.13
21-May-10,5062.93
24-May-10,5069.61
25-May-10,4940.68
26-May-10,5038.08
27-May-10,5195.17
28-May-10,5188.43
1-Jun-10,5163.3
2-Jun-10,5151.32
3-Jun-10,5211.18
4-Jun-10,5126
7-Jun-10,5069.06
8-Jun-10,5028.15
9-Jun-10,5085.86
10-Jun-10,5132.5
11-Jun-10,5163.68
14-Jun-10,5202.13
15-Jun-10,5217.82
16-Jun-10,5237.92
17-Jun-10,5253.89
18-Jun-10,5250.84
21-Jun-10,5299.11
22-Jun-10,5246.98
23-Jun-10,5178.52
24-Jun-10,5100.23
25-Jun-10,5046.47
28-Jun-10,5071.68
29-Jun-10,4914.22
30-Jun-10,4916.87
1-Jul-10,4805.75
2-Jul-10,4838.09
5-Jul-10,4823.53
6-Jul-10,4965
7-Jul-10,5014.82
8-Jul-10,5105.45
9-Jul-10,5132.94
12-Jul-10,5167.02
13-Jul-10,5271.02
14-Jul-10,5253.52
15-Jul-10,5211.29
16-Jul-10,5158.85
19-Jul-10,5148.28
20-Jul-10,5139.46
21-Jul-10,5214.64
22-Jul-10,5313.81
23-Jul-10,5312.62
26-Jul-10,5351.12
27-Jul-10,5365.67
28-Jul-10,5319.68
29-Jul-10,5313.95
30-Jul-10,5258.02
2-Aug-10,5397.11
3-Aug-10,5396.48
4-Aug-10,5386.16
5-Aug-10,5365.78
6-Aug-10,5332.39
9-Aug-10,5410.52
10-Aug-10,5376.41
11-Aug-10,5245.21
12-Aug-10,5266.06
13-Aug-10,5275.44
16-Aug-10,5276.1
17-Aug-10,5350.55
18-Aug-10,5302.87
19-Aug-10,5211.29
20-Aug-10,5195.28
23-Aug-10,5234.84
24-Aug-10,5155.95
25-Aug-10,5109.4
26-Aug-10,5155.84
27-Aug-10,5201.56
31-Aug-10,5225.22
1-Sep-10,5366.41
2-Sep-10,5371.04
3-Sep-10,5428.15
6-Sep-10,5439.19
7-Sep-10,5407.82
8-Sep-10,5429.74
9-Sep-10,5494.16
10-Sep-10,5501.64
13-Sep-10,5565.53
14-Sep-10,5567.41
15-Sep-10,5555.56
16-Sep-10,5540.14
17-Sep-10,5508.45
20-Sep-10,5602.54
21-Sep-10,5576.19
22-Sep-10,5551.91
23-Sep-10,5547.08
24-Sep-10,5598.48
27-Sep-10,5573.42
28-Sep-10,5578.44
29-Sep-10,5569.27
30-Sep-10,5548.62
1-Oct-10,5592.9
4-Oct-10,5555.97
5-Oct-10,5635.76
6-Oct-10,5681.39
7-Oct-10,5662.13
8-Oct-10,5657.61
11-Oct-10,5672.4
12-Oct-10,5661.59
13-Oct-10,5747.35
14-Oct-10,5727.21
15-Oct-10,5703.37
18-Oct-10,5742.52
19-Oct-10,5703.89
20-Oct-10,5728.93
21-Oct-10,5757.86
22-Oct-10,5741.37
25-Oct-10,5751.98
26-Oct-10,5707.3
27-Oct-10,5646.02
28-Oct-10,5677.89
29-Oct-10,5675.16
1-Nov-10,5694.62
2-Nov-10,5757.43
3-Nov-10,5748.97
4-Nov-10,5862.79
5-Nov-10,5875.35
8-Nov-10,5849.96
9-Nov-10,5875.19
10-Nov-10,5816.94
11-Nov-10,5815.23
12-Nov-10,5796.87
15-Nov-10,5820.41
16-Nov-10,5681.9
17-Nov-10,5692.56
18-Nov-10,5768.71
19-Nov-10,5732.83
22-Nov-10,5680.83
23-Nov-10,5581.28
24-Nov-10,5657.1
25-Nov-10,5698.93
26-Nov-10,5668.7
29-Nov-10,5550.95
30-Nov-10,5528.27
1-Dec-10,5642.5
2-Dec-10,5767.56
3-Dec-10,5745.32
6-Dec-10,5770.28
7-Dec-10,5808.45
8-Dec-10,5794.53
9-Dec-10,5807.96
10-Dec-10,5812.95
13-Dec-10,5860.75
14-Dec-10,5891.21
15-Dec-10,5882.18
16-Dec-10,5881.12
17-Dec-10,5871.75
20-Dec-10,5891.61
21-Dec-10,5951.8
22-Dec-10,5983.49
23-Dec-10,5996.07
24-Dec-10,6008.92
29-Dec-10,5996.36
30-Dec-10,5971.01
31-Dec-10,5899.94
4-Jan-11,6013.87
5-Jan-11,6043.86
6-Jan-11,6019.51
7-Jan-11,5984.33
10-Jan-11,5956.3
11-Jan-11,6014.03
12-Jan-11,6050.72
13-Jan-11,6023.88
14-Jan-11,6002.07
17-Jan-11,5985.7
18-Jan-11,6056.43
19-Jan-11,5976.7
20-Jan-11,5867.91
21-Jan-11,5896.25
24-Jan-11,5943.85
25-Jan-11,5917.71
26-Jan-11,5969.21
27-Jan-11,5965.08
28-Jan-11,5881.37
31-Jan-11,5862.94
1-Feb-11,5957.82
2-Feb-11,6000.07
3-Feb-11,5983.34
4-Feb-11,5997.38
7-Feb-11,6051.03
8-Feb-11,6091.33
9-Feb-11,6052.29
10-Feb-11,6020.01
11-Feb-11,6062.9
14-Feb-11,6060.09
15-Feb-11,6037.08
16-Feb-11,6085.27
17-Feb-11,6087.38
18-Feb-11,6082.99
21-Feb-11,6014.8
22-Feb-11,5996.76
23-Feb-11,5923.53
24-Feb-11,5919.98
25-Feb-11,6001.2
28-Feb-11,5994.01
1-Mar-11,5935.76
