Date,Open,High,Low,Close
12/31/2019,"1.54263%","1.54263%","1.54263%","1.54263%"
12/30/2019,"1.53438%","1.53438%","1.53438%","1.53438%"
12/27/2019,"1.53625%","1.53625%","1.53625%","1.53625%"
12/24/2019,"1.53313%","1.53313%","1.53313%","1.53313%"
12/23/2019,"1.53450%","1.53450%","1.53450%","1.53450%"
12/20/2019,"1.53663%","1.53663%","1.53663%","1.53663%"
12/19/2019,"1.53400%","1.53400%","1.53400%","1.53400%"
12/18/2019,"1.53350%","1.53350%","1.53350%","1.53350%"
12/17/2019,"1.53563%","1.53563%","1.53563%","1.53563%"
12/16/2019,"1.53063%","1.53063%","1.53063%","1.53063%"
12/13/2019,"1.52988%","1.52988%","1.52988%","1.52988%"
12/12/2019,"1.53375%","1.53375%","1.53375%","1.53375%"
12/11/2019,"1.52538%","1.52538%","1.52538%","1.52538%"
12/10/2019,"1.52900%","1.52900%","1.52900%","1.52900%"
12/09/2019,"1.53663%","1.53663%","1.53663%","1.53663%"
12/06/2019,"1.52913%","1.52913%","1.52913%","1.52913%"
12/05/2019,"1.52938%","1.52938%","1.52938%","1.52938%"
12/04/2019,"1.52950%","1.52950%","1.52950%","1.52950%"
12/03/2019,"1.53850%","1.53850%","1.53850%","1.53850%"
12/02/2019,"1.54063%","1.54063%","1.54063%","1.54063%"
11/29/2019,"1.54250%","1.54250%","1.54250%","1.54250%"
11/27/2019,"1.53963%","1.53963%","1.53963%","1.53963%"
11/26/2019,"1.53800%","1.53800%","1.53800%","1.53800%"
11/25/2019,"1.53613%","1.53613%","1.53613%","1.53613%"
11/22/2019,"1.53388%","1.53388%","1.53388%","1.53388%"
11/21/2019,"1.54138%","1.54138%","1.54138%","1.54138%"
11/20/2019,"1.52900%","1.52900%","1.52900%","1.52900%"
11/19/2019,"1.53688%","1.53688%","1.53688%","1.53688%"
11/18/2019,"1.53538%","1.53538%","1.53538%","1.53538%"
11/15/2019,"1.53675%","1.53675%","1.53675%","1.53675%"
11/14/2019,"1.52700%","1.52700%","1.52700%","1.52700%"
11/13/2019,"1.53900%","1.53900%","1.53900%","1.53900%"
11/12/2019,"1.53925%","1.53925%","1.53925%","1.53925%"
11/08/2019,"1.53863%","1.53863%","1.53863%","1.53863%"
11/07/2019,"1.54363%","1.54363%","1.54363%","1.54363%"
11/06/2019,"1.53650%","1.53650%","1.53650%","1.53650%"
11/05/2019,"1.54713%","1.54713%","1.54713%","1.54713%"
11/04/2019,"1.55088%","1.55088%","1.55088%","1.55088%"
11/01/2019,"1.59213%","1.59213%","1.59213%","1.59213%"
10/31/2019,"1.59988%","1.59988%","1.59988%","1.59988%"
10/30/2019,"1.80438%","1.80438%","1.80438%","1.80438%"
10/29/2019,"1.80100%","1.80100%","1.80100%","1.80100%"
10/28/2019,"1.80163%","1.80163%","1.80163%","1.80163%"
10/25/2019,"1.80600%","1.80600%","1.80600%","1.80600%"
10/24/2019,"1.80275%","1.80275%","1.80275%","1.80275%"
10/23/2019,"1.81400%","1.81400%","1.81400%","1.81400%"
10/22/2019,"1.81288%","1.81288%","1.81288%","1.81288%"
10/21/2019,"1.81113%","1.81113%","1.81113%","1.81113%"
10/18/2019,"1.81513%","1.81513%","1.81513%","1.81513%"
