Date,Open,High,Low,Close
12/29/2017,"1.83707%","1.83707%","1.83707%","1.83707%"
12/28/2017,"1.84363%","1.84363%","1.84363%","1.84363%"
12/27/2017,"1.84300%","1.84300%","1.84300%","1.84300%"
12/26/2017,"1.83363%","1.83363%","1.83363%","1.83363%"
12/22/2017,"1.83363%","1.83363%","1.83363%","1.83363%"
12/21/2017,"1.82488%","1.82488%","1.82488%","1.82488%"
12/20/2017,"1.81413%","1.81413%","1.81413%","1.81413%"
12/19/2017,"1.78830%","1.78830%","1.78830%","1.78830%"
12/18/2017,"1.78170%","1.78170%","1.78170%","1.78170%"
12/15/2017,"1.77443%","1.77443%","1.77443%","1.77443%"
12/14/2017,"1.76769%","1.76769%","1.76769%","1.76769%"
12/13/2017,"1.75575%","1.75575%","1.75575%","1.75575%"
12/12/2017,"1.74769%","1.74769%","1.74769%","1.74769%"
12/11/2017,"1.73535%","1.73535%","1.73535%","1.73535%"
12/08/2017,"1.72988%","1.72988%","1.72988%","1.72988%"
12/07/2017,"1.72250%","1.72250%","1.72250%","1.72250%"
12/06/2017,"1.71445%","1.71445%","1.71445%","1.71445%"
12/05/2017,"1.71125%","1.71125%","1.71125%","1.71125%"
12/04/2017,"1.69313%","1.69313%","1.69313%","1.69313%"
12/01/2017,"1.67425%","1.67425%","1.67425%","1.67425%"
11/30/2017,"1.66800%","1.66800%","1.66800%","1.66800%"
11/29/2017,"1.66050%","1.66050%","1.66050%","1.66050%"
11/28/2017,"1.65738%","1.65738%","1.65738%","1.65738%"
11/27/2017,"1.65832%","1.65832%","1.65832%","1.65832%"
11/24/2017,"1.65394%","1.65394%","1.65394%","1.65394%"
11/22/2017,"1.65211%","1.65211%","1.65211%","1.65211%"
11/21/2017,"1.64489%","1.64489%","1.64489%","1.64489%"
11/20/2017,"1.63489%","1.63489%","1.63489%","1.63489%"
11/17/2017,"1.63211%","1.63211%","1.63211%","1.63211%"
11/16/2017,"1.63171%","1.63171%","1.63171%","1.63171%"
11/15/2017,"1.61810%","1.61810%","1.61810%","1.61810%"
11/14/2017,"1.62208%","1.62208%","1.62208%","1.62208%"
11/13/2017,"1.61618%","1.61618%","1.61618%","1.61618%"
11/10/2017,"1.61461%","1.61461%","1.61461%","1.61461%"
11/09/2017,"1.61239%","1.61239%","1.61239%","1.61239%"
11/08/2017,"1.60162%","1.60162%","1.60162%","1.60162%"
11/07/2017,"1.59809%","1.59809%","1.59809%","1.59809%"
11/06/2017,"1.59406%","1.59406%","1.59406%","1.59406%"
11/03/2017,"1.59017%","1.59017%","1.59017%","1.59017%"
11/02/2017,"1.58907%","1.58907%","1.58907%","1.58907%"
11/01/2017,"1.57979%","1.57979%","1.57979%","1.57979%"
10/31/2017,"1.57511%","1.57511%","1.57511%","1.57511%"
10/30/2017,"1.57306%","1.57306%","1.57306%","1.57306%"
10/27/2017,"1.57267%","1.57267%","1.57267%","1.57267%"
10/26/2017,"1.56447%","1.56447%","1.56447%","1.56447%"
10/25/2017,"1.56219%","1.56219%","1.56219%","1.56219%"
10/24/2017,"1.56444%","1.56444%","1.56444%","1.56444%"
10/23/2017,"1.56078%","1.56078%","1.56078%","1.56078%"
10/20/2017,"1.55489%","1.55489%","1.55489%","1.55489%"
10/19/2017,"1.55069%","1.55069%","1.55069%","1.55069%"
10/18/2017,"1.55055%","1.55055%","1.55055%","1.55055%"
10/17/2017,"1.54522%","1.54522%","1.54522%","1.54522%"
10/16/2017,"1.53316%","1.53316%","1.53316%","1.53316%"
10/13/2017,"1.53433%","1.53433%","1.53433%","1.53433%"
10/12/2017,"1.53156%","1.53156%","1.53156%","1.53156%"
10/11/2017,"1.52933%","1.52933%","1.52933%","1.52933%"
10/10/2017,"1.52433%","1.52433%","1.52433%","1.52433%"
10/09/2017,"1.52489%","1.52489%","1.52489%","1.52489%"
10/06/2017,"1.51878%","1.51878%","1.51878%","1.51878%"
10/05/2017,"1.51350%","1.51350%","1.51350%","1.51350%"
10/04/2017,"1.51406%","1.51406%","1.51406%","1.51406%"
10/03/2017,"1.51572%","1.51572%","1.51572%","1.51572%"
10/02/2017,"1.50933%","1.50933%","1.50933%","1.50933%"
09/29/2017,"1.50600%","1.50600%","1.50600%","1.50600%"
09/28/2017,"1.50944%","1.50944%","1.50944%","1.50944%"
09/27/2017,"1.50389%","1.50389%","1.50389%","1.50389%"
09/26/2017,"1.49711%","1.49711%","1.49711%","1.49711%"
09/25/2017,"1.49711%","1.49711%","1.49711%","1.49711%"
09/22/2017,"1.49683%","1.49683%","1.49683%","1.49683%"
09/21/2017,"1.49100%","1.49100%","1.49100%","1.49100%"
09/20/2017,"1.48000%","1.48000%","1.48000%","1.48000%"
09/19/2017,"1.47861%","1.47861%","1.47861%","1.47861%"
09/18/2017,"1.47444%","1.47444%","1.47444%","1.47444%"
09/15/2017,"1.47111%","1.47111%","1.47111%","1.47111%"
09/14/2017,"1.45861%","1.45861%","1.45861%","1.45861%"
09/13/2017,"1.45583%","1.45583%","1.45583%","1.45583%"
09/12/2017,"1.45444%","1.45444%","1.45444%","1.45444%"
09/11/2017,"1.44933%","1.44933%","1.44933%","1.44933%"
09/08/2017,"1.44767%","1.44767%","1.44767%","1.44767%"
09/07/2017,"1.45167%","1.45167%","1.45167%","1.45167%"
09/06/2017,"1.45222%","1.45222%","1.45222%","1.45222%"
09/05/2017,"1.45500%","1.45500%","1.45500%","1.45500%"
09/01/2017,"1.45333%","1.45333%","1.45333%","1.45333%"
08/31/2017,"1.45389%","1.45389%","1.45389%","1.45389%"
08/30/2017,"1.45333%","1.45333%","1.45333%","1.45333%"
08/29/2017,"1.45167%","1.45167%","1.45167%","1.45167%"
08/28/2017,"1.45500%","1.45500%","1.45500%","1.45500%"
08/25/2017,"1.45500%","1.45500%","1.45500%","1.45500%"
08/24/2017,"1.45389%","1.45389%","1.45389%","1.45389%"
08/23/2017,"1.45556%","1.45556%","1.45556%","1.45556%"
08/22/2017,"1.45611%","1.45611%","1.45611%","1.45611%"
08/21/2017,"1.45639%","1.45639%","1.45639%","1.45639%"
08/18/2017,"1.45639%","1.45639%","1.45639%","1.45639%"
08/17/2017,"1.45722%","1.45722%","1.45722%","1.45722%"
08/16/2017,"1.45944%","1.45944%","1.45944%","1.45944%"
08/15/2017,"1.45333%","1.45333%","1.45333%","1.45333%"
08/14/2017,"1.45000%","1.45000%","1.45000%","1.45000%"
08/11/2017,"1.45583%","1.45583%","1.45583%","1.45583%"
08/10/2017,"1.45278%","1.45278%","1.45278%","1.45278%"
08/09/2017,"1.45222%","1.45222%","1.45222%","1.45222%"
08/08/2017,"1.45222%","1.45222%","1.45222%","1.45222%"
08/07/2017,"1.45222%","1.45222%","1.45222%","1.45222%"
08/04/2017,"1.44944%","1.44944%","1.44944%","1.44944%"
08/03/2017,"1.45111%","1.45111%","1.45111%","1.45111%"
08/02/2017,"1.45167%","1.45167%","1.45167%","1.45167%"
08/01/2017,"1.45167%","1.45167%","1.45167%","1.45167%"
07/31/2017,"1.45500%","1.45500%","1.45500%","1.45500%"
07/28/2017,"1.45500%","1.45500%","1.45500%","1.45500%"
07/27/2017,"1.45444%","1.45444%","1.45444%","1.45444%"
07/26/2017,"1.45722%","1.45722%","1.45722%","1.45722%"
07/25/2017,"1.45389%","1.45389%","1.45389%","1.45389%"
07/24/2017,"1.45278%","1.45278%","1.45278%","1.45278%"
07/21/2017,"1.45306%","1.45306%","1.45306%","1.45306%"
07/20/2017,"1.45600%","1.45600%","1.45600%","1.45600%"
07/19/2017,"1.45322%","1.45322%","1.45322%","1.45322%"
07/18/2017,"1.45600%","1.45600%","1.45600%","1.45600%"
07/17/2017,"1.45322%","1.45322%","1.45322%","1.45322%"
07/14/2017,"1.45600%","1.45600%","1.45600%","1.45600%"
07/13/2017,"1.45600%","1.45600%","1.45600%","1.45600%"
07/12/2017,"1.46044%","1.46044%","1.46044%","1.46044%"
07/11/2017,"1.46267%","1.46267%","1.46267%","1.46267%"
07/10/2017,"1.46211%","1.46211%","1.46211%","1.46211%"
07/07/2017,"1.46544%","1.46544%","1.46544%","1.46544%"
07/06/2017,"1.46544%","1.46544%","1.46544%","1.46544%"
07/05/2017,"1.45711%","1.45711%","1.45711%","1.45711%"
07/03/2017,"1.45600%","1.45600%","1.45600%","1.45600%"
