Date,Open,High,Low,Close
12/31/2020,"0.34188%","0.34188%","0.34188%","0.34188%"
12/30/2020,"0.34238%","0.34238%","0.34238%","0.34238%"
12/29/2020,"0.34125%","0.34125%","0.34125%","0.34125%"
12/24/2020,"0.34038%","0.34038%","0.34038%","0.34038%"
12/23/2020,"0.33863%","0.33863%","0.33863%","0.33863%"
12/22/2020,"0.33725%","0.33725%","0.33725%","0.33725%"
12/21/2020,"0.33250%","0.33250%","0.33250%","0.33250%"
12/18/2020,"0.33400%","0.33400%","0.33400%","0.33400%"
12/17/2020,"0.33388%","0.33388%","0.33388%","0.33388%"
12/16/2020,"0.33313%","0.33313%","0.33313%","0.33313%"
12/15/2020,"0.33125%","0.33125%","0.33125%","0.33125%"
12/14/2020,"0.33488%","0.33488%","0.33488%","0.33488%"
12/11/2020,"0.33588%","0.33588%","0.33588%","0.33588%"
12/10/2020,"0.33450%","0.33450%","0.33450%","0.33450%"
12/09/2020,"0.33588%","0.33588%","0.33588%","0.33588%"
12/08/2020,"0.33725%","0.33725%","0.33725%","0.33725%"
12/07/2020,"0.33825%","0.33825%","0.33825%","0.33825%"
12/04/2020,"0.33675%","0.33675%","0.33675%","0.33675%"
12/03/2020,"0.33638%","0.33638%","0.33638%","0.33638%"
12/02/2020,"0.33438%","0.33438%","0.33438%","0.33438%"
12/01/2020,"0.33313%","0.33313%","0.33313%","0.33313%"
11/30/2020,"0.33025%","0.33025%","0.33025%","0.33025%"
11/27/2020,"0.33038%","0.33038%","0.33038%","0.33038%"
11/26/2020,"0.33300%","0.33300%","0.33300%","0.33300%"
11/25/2020,"0.33738%","0.33738%","0.33738%","0.33738%"
11/24/2020,"0.33563%","0.33563%","0.33563%","0.33563%"
11/23/2020,"0.33563%","0.33563%","0.33563%","0.33563%"
11/20/2020,"0.33650%","0.33650%","0.33650%","0.33650%"
11/19/2020,"0.33863%","0.33863%","0.33863%","0.33863%"
11/18/2020,"0.33875%","0.33875%","0.33875%","0.33875%"
11/17/2020,"0.33875%","0.33875%","0.33875%","0.33875%"
11/16/2020,"0.33963%","0.33963%","0.33963%","0.33963%"
11/13/2020,"0.33938%","0.33938%","0.33938%","0.33938%"
11/12/2020,"0.34050%","0.34050%","0.34050%","0.34050%"
11/11/2020,"0.34188%","0.34188%","0.34188%","0.34188%"
11/10/2020,"0.33813%","0.33813%","0.33813%","0.33813%"
11/09/2020,"0.33250%","0.33250%","0.33250%","0.33250%"
11/06/2020,"0.33338%","0.33338%","0.33338%","0.33338%"
11/05/2020,"0.33375%","0.33375%","0.33375%","0.33375%"
11/04/2020,"0.33313%","0.33313%","0.33313%","0.33313%"
11/03/2020,"0.33400%","0.33400%","0.33400%","0.33400%"
11/02/2020,"0.33238%","0.33238%","0.33238%","0.33238%"
10/30/2020,"0.33013%","0.33013%","0.33013%","0.33013%"
10/29/2020,"0.33100%","0.33100%","0.33100%","0.33100%"
10/28/2020,"0.32763%","0.32763%","0.32763%","0.32763%"
10/27/2020,"0.33175%","0.33175%","0.33175%","0.33175%"
10/26/2020,"0.33200%","0.33200%","0.33200%","0.33200%"
10/23/2020,"0.33663%","0.33663%","0.33663%","0.33663%"
10/22/2020,"0.33513%","0.33513%","0.33513%","0.33513%"
10/21/2020,"0.33488%","0.33488%","0.33488%","0.33488%"
10/20/2020,"0.33713%","0.33713%","0.33713%","0.33713%"
10/19/2020,"0.33975%","0.33975%","0.33975%","0.33975%"
10/16/2020,"0.33500%","0.33500%","0.33500%","0.33500%"
10/15/2020,"0.34775%","0.34775%","0.34775%","0.34775%"
10/14/2020,"0.34400%","0.34400%","0.34400%","0.34400%"
10/13/2020,"0.34550%","0.34550%","0.34550%","0.34550%"
10/12/2020,"0.34763%","0.34763%","0.34763%","0.34763%"
10/09/2020,"0.34763%","0.34763%","0.34763%","0.34763%"
10/08/2020,"0.34950%","0.34950%","0.34950%","0.34950%"
10/07/2020,"0.34788%","0.34788%","0.34788%","0.34788%"
10/06/2020,"0.34388%","0.34388%","0.34388%","0.34388%"
10/05/2020,"0.34875%","0.34875%","0.34875%","0.34875%"
10/02/2020,"0.35750%","0.35750%","0.35750%","0.35750%"
10/01/2020,"0.35988%","0.35988%","0.35988%","0.35988%"
09/30/2020,"0.36013%","0.36013%","0.36013%","0.36013%"
09/29/2020,"0.35925%","0.35925%","0.35925%","0.35925%"
09/28/2020,"0.36550%","0.36550%","0.36550%","0.36550%"
09/25/2020,"0.36925%","0.36925%","0.36925%","0.36925%"
09/24/2020,"0.37213%","0.37213%","0.37213%","0.37213%"
09/23/2020,"0.37175%","0.37175%","0.37175%","0.37175%"
09/22/2020,"0.37650%","0.37650%","0.37650%","0.37650%"
09/21/2020,"0.37850%","0.37850%","0.37850%","0.37850%"
09/18/2020,"0.37388%","0.37388%","0.37388%","0.37388%"
09/17/2020,"0.37625%","0.37625%","0.37625%","0.37625%"
09/16/2020,"0.37800%","0.37800%","0.37800%","0.37800%"
09/15/2020,"0.38575%","0.38575%","0.38575%","0.38575%"
09/14/2020,"0.40263%","0.40263%","0.40263%","0.40263%"
09/11/2020,"0.41388%","0.41388%","0.41388%","0.41388%"
09/10/2020,"0.41413%","0.41413%","0.41413%","0.41413%"
09/09/2020,"0.41475%","0.41475%","0.41475%","0.41475%"
