Date,Open,High,Low,Close
12/31/2019,"1.76250%","1.76250%","1.76250%","1.76250%"
12/30/2019,"1.78088%","1.78088%","1.78088%","1.78088%"
12/27/2019,"1.79938%","1.79938%","1.79938%","1.79938%"
12/24/2019,"1.80475%","1.80475%","1.80475%","1.80475%"
12/23/2019,"1.79200%","1.79200%","1.79200%","1.79200%"
12/20/2019,"1.77988%","1.77988%","1.77988%","1.77988%"
12/19/2019,"1.78513%","1.78513%","1.78513%","1.78513%"
12/18/2019,"1.76463%","1.76463%","1.76463%","1.76463%"
12/17/2019,"1.76388%","1.76388%","1.76388%","1.76388%"
12/16/2019,"1.74488%","1.74488%","1.74488%","1.74488%"
12/13/2019,"1.73738%","1.73738%","1.73738%","1.73738%"
12/12/2019,"1.73975%","1.73975%","1.73975%","1.73975%"
12/11/2019,"1.74050%","1.74050%","1.74050%","1.74050%"
12/10/2019,"1.73563%","1.73563%","1.73563%","1.73563%"
12/09/2019,"1.71763%","1.71763%","1.71763%","1.71763%"
12/06/2019,"1.71513%","1.71513%","1.71513%","1.71513%"
12/05/2019,"1.71013%","1.71013%","1.71013%","1.71013%"
12/04/2019,"1.71313%","1.71313%","1.71313%","1.71313%"
12/03/2019,"1.70363%","1.70363%","1.70363%","1.70363%"
12/02/2019,"1.69375%","1.69375%","1.69375%","1.69375%"
11/29/2019,"1.69713%","1.69713%","1.69713%","1.69713%"
11/28/2019,"1.70850%","1.70850%","1.70850%","1.70850%"
11/27/2019,"1.69113%","1.69113%","1.69113%","1.69113%"
11/26/2019,"1.70163%","1.70163%","1.70163%","1.70163%"
11/25/2019,"1.69950%","1.69950%","1.69950%","1.69950%"
11/22/2019,"1.70275%","1.70275%","1.70275%","1.70275%"
11/21/2019,"1.70800%","1.70800%","1.70800%","1.70800%"
11/20/2019,"1.71563%","1.71563%","1.71563%","1.71563%"
11/19/2019,"1.72163%","1.72163%","1.72163%","1.72163%"
11/18/2019,"1.72363%","1.72363%","1.72363%","1.72363%"
11/15/2019,"1.73325%","1.73325%","1.73325%","1.73325%"
11/14/2019,"1.76250%","1.76250%","1.76250%","1.76250%"
11/13/2019,"1.76538%","1.76538%","1.76538%","1.76538%"
11/12/2019,"1.76163%","1.76163%","1.76163%","1.76163%"
11/11/2019,"1.76325%","1.76325%","1.76325%","1.76325%"
11/08/2019,"1.75900%","1.75900%","1.75900%","1.75900%"
11/07/2019,"1.75800%","1.75800%","1.75800%","1.75800%"
11/06/2019,"1.75500%","1.75500%","1.75500%","1.75500%"
11/05/2019,"1.76988%","1.76988%","1.76988%","1.76988%"
11/04/2019,"1.77100%","1.77100%","1.77100%","1.77100%"
11/01/2019,"1.77425%","1.77425%","1.77425%","1.77425%"
10/31/2019,"1.78488%","1.78488%","1.78488%","1.78488%"
10/30/2019,"1.78138%","1.78138%","1.78138%","1.78138%"
10/29/2019,"1.78588%","1.78588%","1.78588%","1.78588%"
10/28/2019,"1.79963%","1.79963%","1.79963%","1.79963%"
10/25/2019,"1.80488%","1.80488%","1.80488%","1.80488%"
10/24/2019,"1.80425%","1.80425%","1.80425%","1.80425%"
10/23/2019,"1.82275%","1.82275%","1.82275%","1.82275%"
10/22/2019,"1.82175%","1.82175%","1.82175%","1.82175%"
10/21/2019,"1.82300%","1.82300%","1.82300%","1.82300%"
10/18/2019,"1.85025%","1.85025%","1.85025%","1.85025%"
10/17/2019,"1.84638%","1.84638%","1.84638%","1.84638%"
10/16/2019,"1.87750%","1.87750%","1.87750%","1.87750%"
10/15/2019,"1.88913%","1.88913%","1.88913%","1.88913%"
10/14/2019,"1.89075%","1.89075%","1.89075%","1.89075%"
10/11/2019,"1.91350%","1.91350%","1.91350%","1.91350%"
10/10/2019,"1.92125%","1.92125%","1.92125%","1.92125%"
10/09/2019,"1.92738%","1.92738%","1.92738%","1.92738%"
10/08/2019,"1.93875%","1.93875%","1.93875%","1.93875%"
10/07/2019,"1.94025%","1.94025%","1.94025%","1.94025%"
10/04/2019,"1.97800%","1.97800%","1.97800%","1.97800%"
10/03/2019,"1.98950%","1.98950%","1.98950%","1.98950%"
10/02/2019,"1.99725%","1.99725%","1.99725%","1.99725%"
10/01/2019,"2.01088%","2.01088%","2.01088%","2.01088%"
09/30/2019,"2.01563%","2.01563%","2.01563%","2.01563%"
09/27/2019,"2.03150%","2.03150%","2.03150%","2.03150%"
09/26/2019,"2.04350%","2.04350%","2.04350%","2.04350%"
09/25/2019,"2.05363%","2.05363%","2.05363%","2.05363%"
09/24/2019,"2.04588%","2.04588%","2.04588%","2.04588%"
09/23/2019,"2.01838%","2.01838%","2.01838%","2.01838%"
09/20/2019,"2.03650%","2.03650%","2.03650%","2.03650%"
09/19/2019,"2.04588%","2.04588%","2.04588%","2.04588%"
09/18/2019,"2.04425%","2.04425%","2.04425%","2.04425%"
09/17/2019,"2.05700%","2.05700%","2.05700%","2.05700%"
09/16/2019,"2.04088%","2.04088%","2.04088%","2.04088%"
09/13/2019,"2.02475%","2.02475%","2.02475%","2.02475%"
09/12/2019,"2.02750%","2.02750%","2.02750%","2.02750%"
09/11/2019,"2.03588%","2.03588%","2.03588%","2.03588%"
09/10/2019,"2.03863%","2.03863%","2.03863%","2.03863%"
09/09/2019,"2.04950%","2.04950%","2.04950%","2.04950%"
09/06/2019,"2.04900%","2.04900%","2.04900%","2.04900%"
09/05/2019,"2.04213%","2.04213%","2.04213%","2.04213%"
09/04/2019,"2.05725%","2.05725%","2.05725%","2.05725%"
09/03/2019,"2.06688%","2.06688%","2.06688%","2.06688%"
09/02/2019,"2.08188%","2.08188%","2.08188%","2.08188%"
08/30/2019,"2.08900%","2.08900%","2.08900%","2.08900%"
08/29/2019,"2.10025%","2.10025%","2.10025%","2.10025%"
08/28/2019,"2.11200%","2.11200%","2.11200%","2.11200%"
08/27/2019,"2.11588%","2.11588%","2.11588%","2.11588%"
08/23/2019,"2.13950%","2.13950%","2.13950%","2.13950%"
08/22/2019,"2.14525%","2.14525%","2.14525%","2.14525%"
08/21/2019,"2.16663%","2.16663%","2.16663%","2.16663%"
08/20/2019,"2.17000%","2.17000%","2.17000%","2.17000%"
08/19/2019,"2.16863%","2.16863%","2.16863%","2.16863%"
08/16/2019,"2.17213%","2.17213%","2.17213%","2.17213%"
08/15/2019,"2.18200%","2.18200%","2.18200%","2.18200%"
08/14/2019,"2.19738%","2.19738%","2.19738%","2.19738%"
08/13/2019,"2.19513%","2.19513%","2.19513%","2.19513%"
08/12/2019,"2.19525%","2.19525%","2.19525%","2.19525%"
08/09/2019,"2.19425%","2.19425%","2.19425%","2.19425%"
08/08/2019,"2.20088%","2.20088%","2.20088%","2.20088%"
08/07/2019,"2.21125%","2.21125%","2.21125%","2.21125%"
08/06/2019,"2.21275%","2.21275%","2.21275%","2.21275%"
08/05/2019,"2.22300%","2.22300%","2.22300%","2.22300%"
08/02/2019,"2.22850%","2.22850%","2.22850%","2.22850%"
08/01/2019,"2.24413%","2.24413%","2.24413%","2.24413%"
07/31/2019,"2.22425%","2.22425%","2.22425%","2.22425%"
07/30/2019,"2.22975%","2.22975%","2.22975%","2.22975%"
07/29/2019,"2.23438%","2.23438%","2.23438%","2.23438%"
07/26/2019,"2.23700%","2.23700%","2.23700%","2.23700%"
07/25/2019,"2.24113%","2.24113%","2.24113%","2.24113%"
07/24/2019,"2.26175%","2.26175%","2.26175%","2.26175%"
07/23/2019,"2.26600%","2.26600%","2.26600%","2.26600%"
07/22/2019,"2.26913%","2.26913%","2.26913%","2.26913%"
07/19/2019,"2.26113%","2.26113%","2.26113%","2.26113%"
07/18/2019,"2.27150%","2.27150%","2.27150%","2.27150%"
07/17/2019,"2.29788%","2.29788%","2.29788%","2.29788%"
07/16/2019,"2.30038%","2.30038%","2.30038%","2.30038%"
07/15/2019,"2.31413%","2.31413%","2.31413%","2.31413%"
07/12/2019,"2.33200%","2.33200%","2.33200%","2.33200%"
07/11/2019,"2.32500%","2.32500%","2.32500%","2.32500%"
07/10/2019,"2.36913%","2.36913%","2.36913%","2.36913%"
07/09/2019,"2.36863%","2.36863%","2.36863%","2.36863%"
07/08/2019,"2.37938%","2.37938%","2.37938%","2.37938%"
07/05/2019,"2.36650%","2.36650%","2.36650%","2.36650%"
07/04/2019,"2.36413%","2.36413%","2.36413%","2.36413%"
07/03/2019,"2.36000%","2.36000%","2.36000%","2.36000%"
07/02/2019,"2.37950%","2.37950%","2.37950%","2.37950%"
07/01/2019,"2.38775%","2.38775%","2.38775%","2.38775%"
06/28/2019,"2.39800%","2.39800%","2.39800%","2.39800%"
06/27/2019,"2.40238%","2.40238%","2.40238%","2.40238%"
06/26/2019,"2.40238%","2.40238%","2.40238%","2.40238%"
06/25/2019,"2.40413%","2.40413%","2.40413%","2.40413%"
06/24/2019,"2.40175%","2.40175%","2.40175%","2.40175%"
06/21/2019,"2.40438%","2.40438%","2.40438%","2.40438%"
06/20/2019,"2.40363%","2.40363%","2.40363%","2.40363%"
06/19/2019,"2.38338%","2.38338%","2.38338%","2.38338%"
06/18/2019,"2.38288%","2.38288%","2.38288%","2.38288%"
06/17/2019,"2.39025%","2.39025%","2.39025%","2.39025%"
06/14/2019,"2.38175%","2.38175%","2.38175%","2.38175%"
06/13/2019,"2.39425%","2.39425%","2.39425%","2.39425%"
06/12/2019,"2.40113%","2.40113%","2.40113%","2.40113%"
06/11/2019,"2.41063%","2.41063%","2.41063%","2.41063%"
06/10/2019,"2.41338%","2.41338%","2.41338%","2.41338%"
06/07/2019,"2.41213%","2.41213%","2.41213%","2.41213%"
06/06/2019,"2.41163%","2.41163%","2.41163%","2.41163%"
06/05/2019,"2.41850%","2.41850%","2.41850%","2.41850%"
06/04/2019,"2.42088%","2.42088%","2.42088%","2.42088%"
06/03/2019,"2.42988%","2.42988%","2.42988%","2.42988%"
05/31/2019,"2.43050%","2.43050%","2.43050%","2.43050%"
05/30/2019,"2.44000%","2.44000%","2.44000%","2.44000%"
