Date,Open,High,Low,Close
12/30/2016,"1.68567%","1.68567%","1.68567%","1.68567%"
12/29/2016,"1.68733%","1.68733%","1.68733%","1.68733%"
12/28/2016,"1.69011%","1.69011%","1.69011%","1.69011%"
12/23/2016,"1.68956%","1.68956%","1.68956%","1.68956%"
12/22/2016,"1.68789%","1.68789%","1.68789%","1.68789%"
12/21/2016,"1.68956%","1.68956%","1.68956%","1.68956%"
12/20/2016,"1.69067%","1.69067%","1.69067%","1.69067%"
12/19/2016,"1.69178%","1.69178%","1.69178%","1.69178%"
12/18/2016,"1.69344%","1.69344%","1.69344%","1.69344%"
12/16/2016,"1.69344%","1.69344%","1.69344%","1.69344%"
12/15/2016,"1.69956%","1.69956%","1.69956%","1.69956%"
12/14/2016,"1.65456%","1.65456%","1.65456%","1.65456%"
12/13/2016,"1.65400%","1.65400%","1.65400%","1.65400%"
12/12/2016,"1.65456%","1.65456%","1.65456%","1.65456%"
12/09/2016,"1.64844%","1.64844%","1.64844%","1.64844%"
12/08/2016,"1.64456%","1.64456%","1.64456%","1.64456%"
12/07/2016,"1.64511%","1.64511%","1.64511%","1.64511%"
12/06/2016,"1.64567%","1.64567%","1.64567%","1.64567%"
12/05/2016,"1.64400%","1.64400%","1.64400%","1.64400%"
12/02/2016,"1.64456%","1.64456%","1.64456%","1.64456%"
12/01/2016,"1.64344%","1.64344%","1.64344%","1.64344%"
11/30/2016,"1.63900%","1.63900%","1.63900%","1.63900%"
11/29/2016,"1.64067%","1.64067%","1.64067%","1.64067%"
11/28/2016,"1.64122%","1.64122%","1.64122%","1.64122%"
11/25/2016,"1.64511%","1.64511%","1.64511%","1.64511%"
11/24/2016,"1.64344%","1.64344%","1.64344%","1.64344%"
11/23/2016,"1.62956%","1.62956%","1.62956%","1.62956%"
11/22/2016,"1.62789%","1.62789%","1.62789%","1.62789%"
11/21/2016,"1.62289%","1.62289%","1.62289%","1.62289%"
11/18/2016,"1.62067%","1.62067%","1.62067%","1.62067%"
11/17/2016,"1.60456%","1.60456%","1.60456%","1.60456%"
11/16/2016,"1.61178%","1.61178%","1.61178%","1.61178%"
11/15/2016,"1.60456%","1.60456%","1.60456%","1.60456%"
11/14/2016,"1.61011%","1.61011%","1.61011%","1.61011%"
11/11/2016,"1.58789%","1.58789%","1.58789%","1.58789%"
11/10/2016,"1.58344%","1.58344%","1.58344%","1.58344%"
11/09/2016,"1.55622%","1.55622%","1.55622%","1.55622%"
11/08/2016,"1.56789%","1.56789%","1.56789%","1.56789%"
11/07/2016,"1.56844%","1.56844%","1.56844%","1.56844%"
11/04/2016,"1.55900%","1.55900%","1.55900%","1.55900%"
11/03/2016,"1.56011%","1.56011%","1.56011%","1.56011%"
11/02/2016,"1.56511%","1.56511%","1.56511%","1.56511%"
11/01/2016,"1.57567%","1.57567%","1.57567%","1.57567%"
10/31/2016,"1.57511%","1.57511%","1.57511%","1.57511%"
10/28/2016,"1.58233%","1.58233%","1.58233%","1.58233%"
10/27/2016,"1.58233%","1.58233%","1.58233%","1.58233%"
10/26/2016,"1.57956%","1.57956%","1.57956%","1.57956%"
10/25/2016,"1.57844%","1.57844%","1.57844%","1.57844%"
10/24/2016,"1.57067%","1.57067%","1.57067%","1.57067%"
10/23/2016,"1.57178%","1.57178%","1.57178%","1.57178%"
10/21/2016,"1.57178%","1.57178%","1.57178%","1.57178%"
10/20/2016,"1.56622%","1.56622%","1.56622%","1.56622%"
10/19/2016,"1.56400%","1.56400%","1.56400%","1.56400%"
10/18/2016,"1.57122%","1.57122%","1.57122%","1.57122%"
10/17/2016,"1.58067%","1.58067%","1.58067%","1.58067%"
10/14/2016,"1.58567%","1.58567%","1.58567%","1.58567%"
10/13/2016,"1.58733%","1.58733%","1.58733%","1.58733%"
10/12/2016,"1.59567%","1.59567%","1.59567%","1.59567%"
10/11/2016,"1.59122%","1.59122%","1.59122%","1.59122%"
