Date,Open,High,Low,Close
12/31/2018,"2.37825%","2.37825%","2.37825%","2.37825%"
12/28/2018,"2.39238%","2.39238%","2.39238%","2.39238%"
12/27/2018,"2.39100%","2.39100%","2.39100%","2.39100%"
12/26/2018,"2.38988%","2.38988%","2.38988%","2.38988%"
12/24/2018,"2.38988%","2.38988%","2.38988%","2.38988%"
12/21/2018,"2.39163%","2.39163%","2.39163%","2.39163%"
12/20/2018,"2.38788%","2.38788%","2.38788%","2.38788%"
12/19/2018,"2.18175%","2.18175%","2.18175%","2.18175%"
12/18/2018,"2.18025%","2.18025%","2.18025%","2.18025%"
12/17/2018,"2.18125%","2.18125%","2.18125%","2.18125%"
12/14/2018,"2.18475%","2.18475%","2.18475%","2.18475%"
12/13/2018,"2.18438%","2.18438%","2.18438%","2.18438%"
12/12/2018,"2.18475%","2.18475%","2.18475%","2.18475%"
12/11/2018,"2.18213%","2.18213%","2.18213%","2.18213%"
12/10/2018,"2.18200%","2.18200%","2.18200%","2.18200%"
12/07/2018,"2.18088%","2.18088%","2.18088%","2.18088%"
12/06/2018,"2.18238%","2.18238%","2.18238%","2.18238%"
12/04/2018,"2.17613%","2.17613%","2.17613%","2.17613%"
12/03/2018,"2.18188%","2.18188%","2.18188%","2.18188%"
11/30/2018,"2.17750%","2.17750%","2.17750%","2.17750%"
11/29/2018,"2.18275%","2.18275%","2.18275%","2.18275%"
11/28/2018,"2.18250%","2.18250%","2.18250%","2.18250%"
11/27/2018,"2.17850%","2.17850%","2.17850%","2.17850%"
11/26/2018,"2.18300%","2.18300%","2.18300%","2.18300%"
11/23/2018,"2.17700%","2.17700%","2.17700%","2.17700%"
11/21/2018,"2.18050%","2.18050%","2.18050%","2.18050%"
11/20/2018,"2.17288%","2.17288%","2.17288%","2.17288%"
11/19/2018,"2.18075%","2.18075%","2.18075%","2.18075%"
11/16/2018,"2.17538%","2.17538%","2.17538%","2.17538%"
11/15/2018,"2.17938%","2.17938%","2.17938%","2.17938%"
11/14/2018,"2.17575%","2.17575%","2.17575%","2.17575%"
11/13/2018,"2.17788%","2.17788%","2.17788%","2.17788%"
11/12/2018,"2.17500%","2.17500%","2.17500%","2.17500%"
11/09/2018,"2.17500%","2.17500%","2.17500%","2.17500%"
11/08/2018,"2.17988%","2.17988%","2.17988%","2.17988%"
11/07/2018,"2.17725%","2.17725%","2.17725%","2.17725%"
11/06/2018,"2.17663%","2.17663%","2.17663%","2.17663%"
11/05/2018,"2.17525%","2.17525%","2.17525%","2.17525%"
11/02/2018,"2.17463%","2.17463%","2.17463%","2.17463%"
11/01/2018,"2.17538%","2.17538%","2.17538%","2.17538%"
10/31/2018,"2.17300%","2.17300%","2.17300%","2.17300%"
10/30/2018,"2.18000%","2.18000%","2.18000%","2.18000%"
10/29/2018,"2.17888%","2.17888%","2.17888%","2.17888%"
10/26/2018,"2.17675%","2.17675%","2.17675%","2.17675%"
10/25/2018,"2.17425%","2.17425%","2.17425%","2.17425%"
10/24/2018,"2.17513%","2.17513%","2.17513%","2.17513%"
10/23/2018,"2.17388%","2.17388%","2.17388%","2.17388%"
10/22/2018,"2.17063%","2.17063%","2.17063%","2.17063%"
10/19/2018,"2.17113%","2.17113%","2.17113%","2.17113%"
10/18/2018,"2.17025%","2.17025%","2.17025%","2.17025%"
10/17/2018,"2.17600%","2.17600%","2.17600%","2.17600%"
10/16/2018,"2.17638%","2.17638%","2.17638%","2.17638%"
10/15/2018,"2.17725%","2.17725%","2.17725%","2.17725%"
10/12/2018,"2.16938%","2.16938%","2.16938%","2.16938%"
10/11/2018,"2.17225%","2.17225%","2.17225%","2.17225%"
10/10/2018,"2.17200%","2.17200%","2.17200%","2.17200%"
10/09/2018,"2.16550%","2.16550%","2.16550%","2.16550%"
10/08/2018,"2.17175%","2.17175%","2.17175%","2.17175%"
10/05/2018,"2.17175%","2.17175%","2.17175%","2.17175%"
10/04/2018,"2.16525%","2.16525%","2.16525%","2.16525%"
10/03/2018,"2.16813%","2.16813%","2.16813%","2.16813%"
10/02/2018,"2.17725%","2.17725%","2.17725%","2.17725%"
10/01/2018,"2.17075%","2.17075%","2.17075%","2.17075%"
09/28/2018,"2.17138%","2.17138%","2.17138%","2.17138%"
09/27/2018,"2.17388%","2.17388%","2.17388%","2.17388%"
09/26/2018,"1.92525%","1.92525%","1.92525%","1.92525%"
09/25/2018,"1.91625%","1.91625%","1.91625%","1.91625%"
09/24/2018,"1.91800%","1.91800%","1.91800%","1.91800%"
09/21/2018,"1.92088%","1.92088%","1.92088%","1.92088%"
09/20/2018,"1.91738%","1.91738%","1.91738%","1.91738%"
