Date,Open,High,Low,Close
12/29/2017,"2.10697%","2.10697%","2.10697%","2.10697%"
12/28/2017,"2.10634%","2.10634%","2.10634%","2.10634%"
12/27/2017,"2.11063%","2.11063%","2.11063%","2.11063%"
12/24/2017,"2.10216%","2.10216%","2.10216%","2.10216%"
12/22/2017,"2.10216%","2.10216%","2.10216%","2.10216%"
12/21/2017,"2.09091%","2.09091%","2.09091%","2.09091%"
12/20/2017,"2.08366%","2.08366%","2.08366%","2.08366%"
12/19/2017,"2.06888%","2.06888%","2.06888%","2.06888%"
12/18/2017,"2.05825%","2.05825%","2.05825%","2.05825%"
12/15/2017,"2.04763%","2.04763%","2.04763%","2.04763%"
12/14/2017,"2.04263%","2.04263%","2.04263%","2.04263%"
12/13/2017,"2.03856%","2.03856%","2.03856%","2.03856%"
12/12/2017,"2.02825%","2.02825%","2.02825%","2.02825%"
12/11/2017,"2.01356%","2.01356%","2.01356%","2.01356%"
12/08/2017,"2.01075%","2.01075%","2.01075%","2.01075%"
12/07/2017,"1.99731%","1.99731%","1.99731%","1.99731%"
12/06/2017,"1.98825%","1.98825%","1.98825%","1.98825%"
12/05/2017,"1.98950%","1.98950%","1.98950%","1.98950%"
12/04/2017,"1.98169%","1.98169%","1.98169%","1.98169%"
12/01/2017,"1.96044%","1.96044%","1.96044%","1.96044%"
11/30/2017,"1.95169%","1.95169%","1.95169%","1.95169%"
11/29/2017,"1.94481%","1.94481%","1.94481%","1.94481%"
11/28/2017,"1.93798%","1.93798%","1.93798%","1.93798%"
11/27/2017,"1.94294%","1.94294%","1.94294%","1.94294%"
11/24/2017,"1.93606%","1.93606%","1.93606%","1.93606%"
11/23/2017,"1.93011%","1.93011%","1.93011%","1.93011%"
11/22/2017,"1.93400%","1.93400%","1.93400%","1.93400%"
11/21/2017,"1.92733%","1.92733%","1.92733%","1.92733%"
11/20/2017,"1.90844%","1.90844%","1.90844%","1.90844%"
11/17/2017,"1.90622%","1.90622%","1.90622%","1.90622%"
11/16/2017,"1.90067%","1.90067%","1.90067%","1.90067%"
11/15/2017,"1.88622%","1.88622%","1.88622%","1.88622%"
11/14/2017,"1.89261%","1.89261%","1.89261%","1.89261%"
11/13/2017,"1.88428%","1.88428%","1.88428%","1.88428%"
11/10/2017,"1.88150%","1.88150%","1.88150%","1.88150%"
11/09/2017,"1.88178%","1.88178%","1.88178%","1.88178%"
11/08/2017,"1.87317%","1.87317%","1.87317%","1.87317%"
11/07/2017,"1.86844%","1.86844%","1.86844%","1.86844%"
11/06/2017,"1.86428%","1.86428%","1.86428%","1.86428%"
11/03/2017,"1.86289%","1.86289%","1.86289%","1.86289%"
11/02/2017,"1.86317%","1.86317%","1.86317%","1.86317%"
11/01/2017,"1.85594%","1.85594%","1.85594%","1.85594%"
10/31/2017,"1.84844%","1.84844%","1.84844%","1.84844%"
10/30/2017,"1.84233%","1.84233%","1.84233%","1.84233%"
10/29/2017,"1.84789%","1.84789%","1.84789%","1.84789%"
10/27/2017,"1.84789%","1.84789%","1.84789%","1.84789%"
10/26/2017,"1.84289%","1.84289%","1.84289%","1.84289%"
10/25/2017,"1.84456%","1.84456%","1.84456%","1.84456%"
10/24/2017,"1.83456%","1.83456%","1.83456%","1.83456%"
10/23/2017,"1.83511%","1.83511%","1.83511%","1.83511%"
10/20/2017,"1.83122%","1.83122%","1.83122%","1.83122%"
10/19/2017,"1.82789%","1.82789%","1.82789%","1.82789%"
10/18/2017,"1.83456%","1.83456%","1.83456%","1.83456%"
10/17/2017,"1.82122%","1.82122%","1.82122%","1.82122%"
10/16/2017,"1.80956%","1.80956%","1.80956%","1.80956%"
10/13/2017,"1.81289%","1.81289%","1.81289%","1.81289%"
10/12/2017,"1.80844%","1.80844%","1.80844%","1.80844%"
10/11/2017,"1.80956%","1.80956%","1.80956%","1.80956%"
10/10/2017,"1.80678%","1.80678%","1.80678%","1.80678%"
10/09/2017,"1.80900%","1.80900%","1.80900%","1.80900%"
10/06/2017,"1.80456%","1.80456%","1.80456%","1.80456%"
10/05/2017,"1.80011%","1.80011%","1.80011%","1.80011%"
10/04/2017,"1.79789%","1.79789%","1.79789%","1.79789%"
10/03/2017,"1.79872%","1.79872%","1.79872%","1.79872%"
10/02/2017,"1.79067%","1.79067%","1.79067%","1.79067%"
09/29/2017,"1.78233%","1.78233%","1.78233%","1.78233%"
09/28/2017,"1.78678%","1.78678%","1.78678%","1.78678%"
09/27/2017,"1.78539%","1.78539%","1.78539%","1.78539%"
09/26/2017,"1.77567%","1.77567%","1.77567%","1.77567%"
09/25/2017,"1.77483%","1.77483%","1.77483%","1.77483%"
09/22/2017,"1.77539%","1.77539%","1.77539%","1.77539%"
09/21/2017,"1.76761%","1.76761%","1.76761%","1.76761%"
09/20/2017,"1.74733%","1.74733%","1.74733%","1.74733%"
09/19/2017,"1.74428%","1.74428%","1.74428%","1.74428%"
09/18/2017,"1.73983%","1.73983%","1.73983%","1.73983%"
09/15/2017,"1.73206%","1.73206%","1.73206%","1.73206%"
09/14/2017,"1.71956%","1.71956%","1.71956%","1.71956%"
09/13/2017,"1.71233%","1.71233%","1.71233%","1.71233%"
09/12/2017,"1.70956%","1.70956%","1.70956%","1.70956%"
09/11/2017,"1.69900%","1.69900%","1.69900%","1.69900%"
09/08/2017,"1.69511%","1.69511%","1.69511%","1.69511%"
09/07/2017,"1.70900%","1.70900%","1.70900%","1.70900%"
09/06/2017,"1.70789%","1.70789%","1.70789%","1.70789%"
09/05/2017,"1.71456%","1.71456%","1.71456%","1.71456%"
09/04/2017,"1.71289%","1.71289%","1.71289%","1.71289%"
09/01/2017,"1.71178%","1.71178%","1.71178%","1.71178%"
08/31/2017,"1.71344%","1.71344%","1.71344%","1.71344%"
08/30/2017,"1.71178%","1.71178%","1.71178%","1.71178%"
08/29/2017,"1.71400%","1.71400%","1.71400%","1.71400%"
08/27/2017,"1.72789%","1.72789%","1.72789%","1.72789%"
08/25/2017,"1.72789%","1.72789%","1.72789%","1.72789%"
08/24/2017,"1.72344%","1.72344%","1.72344%","1.72344%"
08/23/2017,"1.72789%","1.72789%","1.72789%","1.72789%"
08/22/2017,"1.72733%","1.72733%","1.72733%","1.72733%"
08/21/2017,"1.72733%","1.72733%","1.72733%","1.72733%"
08/18/2017,"1.72622%","1.72622%","1.72622%","1.72622%"
08/17/2017,"1.73289%","1.73289%","1.73289%","1.73289%"
08/16/2017,"1.73622%","1.73622%","1.73622%","1.73622%"
08/15/2017,"1.72789%","1.72789%","1.72789%","1.72789%"
08/14/2017,"1.71789%","1.71789%","1.71789%","1.71789%"
08/11/2017,"1.72456%","1.72456%","1.72456%","1.72456%"
08/10/2017,"1.72844%","1.72844%","1.72844%","1.72844%"
08/09/2017,"1.72789%","1.72789%","1.72789%","1.72789%"
08/08/2017,"1.73011%","1.73011%","1.73011%","1.73011%"
08/07/2017,"1.73233%","1.73233%","1.73233%","1.73233%"
08/04/2017,"1.72289%","1.72289%","1.72289%","1.72289%"
08/03/2017,"1.72567%","1.72567%","1.72567%","1.72567%"
08/02/2017,"1.72567%","1.72567%","1.72567%","1.72567%"
08/01/2017,"1.72567%","1.72567%","1.72567%","1.72567%"
07/31/2017,"1.72733%","1.72733%","1.72733%","1.72733%"
07/28/2017,"1.72900%","1.72900%","1.72900%","1.72900%"
07/27/2017,"1.72956%","1.72956%","1.72956%","1.72956%"
07/26/2017,"1.73622%","1.73622%","1.73622%","1.73622%"
