Date,Open,High,Low,Close
12/30/2016,"1.31767%","1.31767%","1.31767%","1.31767%"
12/29/2016,"1.31767%","1.31767%","1.31767%","1.31767%"
12/28/2016,"1.31767%","1.31767%","1.31767%","1.31767%"
12/27/2016,"1.31656%","1.31656%","1.31656%","1.31656%"
12/23/2016,"1.31656%","1.31656%","1.31656%","1.31656%"
12/22/2016,"1.31600%","1.31600%","1.31600%","1.31600%"
12/21/2016,"1.31600%","1.31600%","1.31600%","1.31600%"
12/20/2016,"1.32044%","1.32044%","1.32044%","1.32044%"
12/19/2016,"1.31767%","1.31767%","1.31767%","1.31767%"
12/16/2016,"1.31989%","1.31989%","1.31989%","1.31989%"
12/15/2016,"1.32267%","1.32267%","1.32267%","1.32267%"
12/14/2016,"1.29822%","1.29822%","1.29822%","1.29822%"
12/13/2016,"1.29822%","1.29822%","1.29822%","1.29822%"
12/12/2016,"1.29878%","1.29878%","1.29878%","1.29878%"
12/09/2016,"1.29600%","1.29600%","1.29600%","1.29600%"
12/08/2016,"1.29322%","1.29322%","1.29322%","1.29322%"
12/07/2016,"1.29322%","1.29322%","1.29322%","1.29322%"
12/06/2016,"1.29322%","1.29322%","1.29322%","1.29322%"
12/05/2016,"1.29100%","1.29100%","1.29100%","1.29100%"
12/02/2016,"1.29156%","1.29156%","1.29156%","1.29156%"
12/01/2016,"1.29100%","1.29100%","1.29100%","1.29100%"
11/30/2016,"1.28878%","1.28878%","1.28878%","1.28878%"
11/29/2016,"1.29267%","1.29267%","1.29267%","1.29267%"
11/28/2016,"1.28989%","1.28989%","1.28989%","1.28989%"
11/25/2016,"1.28989%","1.28989%","1.28989%","1.28989%"
11/23/2016,"1.27989%","1.27989%","1.27989%","1.27989%"
11/22/2016,"1.27822%","1.27822%","1.27822%","1.27822%"
11/21/2016,"1.27433%","1.27433%","1.27433%","1.27433%"
11/18/2016,"1.27933%","1.27933%","1.27933%","1.27933%"
11/17/2016,"1.27489%","1.27489%","1.27489%","1.27489%"
11/16/2016,"1.27544%","1.27544%","1.27544%","1.27544%"
11/15/2016,"1.27211%","1.27211%","1.27211%","1.27211%"
