Date,Open,High,Low,Close
12/31/2018,"2.50269%","2.50269%","2.50269%","2.50269%"
12/28/2018,"2.51988%","2.51988%","2.51988%","2.51988%"
12/27/2018,"2.52238%","2.52238%","2.52238%","2.52238%"
12/26/2018,"2.50563%","2.50563%","2.50563%","2.50563%"
12/24/2018,"2.50563%","2.50563%","2.50563%","2.50563%"
12/21/2018,"2.50625%","2.50625%","2.50625%","2.50625%"
12/20/2018,"2.50375%","2.50375%","2.50375%","2.50375%"
12/19/2018,"2.47938%","2.47938%","2.47938%","2.47938%"
12/18/2018,"2.47013%","2.47013%","2.47013%","2.47013%"
12/17/2018,"2.46963%","2.46963%","2.46963%","2.46963%"
12/14/2018,"2.45500%","2.45500%","2.45500%","2.45500%"
12/13/2018,"2.45513%","2.45513%","2.45513%","2.45513%"
12/12/2018,"2.44013%","2.44013%","2.44013%","2.44013%"
12/11/2018,"2.43238%","2.43238%","2.43238%","2.43238%"
12/10/2018,"2.42050%","2.42050%","2.42050%","2.42050%"
12/07/2018,"2.40019%","2.40019%","2.40019%","2.40019%"
12/06/2018,"2.38694%","2.38694%","2.38694%","2.38694%"
12/04/2018,"2.37950%","2.37950%","2.37950%","2.37950%"
12/03/2018,"2.37888%","2.37888%","2.37888%","2.37888%"
11/30/2018,"2.34694%","2.34694%","2.34694%","2.34694%"
11/29/2018,"2.34925%","2.34925%","2.34925%","2.34925%"
11/28/2018,"2.34463%","2.34463%","2.34463%","2.34463%"
11/27/2018,"2.34931%","2.34931%","2.34931%","2.34931%"
11/26/2018,"2.33675%","2.33675%","2.33675%","2.33675%"
11/23/2018,"2.32188%","2.32188%","2.32188%","2.32188%"
11/21/2018,"2.31513%","2.31513%","2.31513%","2.31513%"
11/20/2018,"2.30550%","2.30550%","2.30550%","2.30550%"
11/19/2018,"2.30025%","2.30025%","2.30025%","2.30025%"
11/16/2018,"2.30088%","2.30088%","2.30088%","2.30088%"
11/15/2018,"2.30250%","2.30250%","2.30250%","2.30250%"
11/14/2018,"2.31038%","2.31038%","2.31038%","2.31038%"
11/13/2018,"2.30650%","2.30650%","2.30650%","2.30650%"
11/12/2018,"2.30663%","2.30663%","2.30663%","2.30663%"
11/09/2018,"2.31438%","2.31438%","2.31438%","2.31438%"
11/08/2018,"2.31844%","2.31844%","2.31844%","2.31844%"
11/07/2018,"2.31531%","2.31531%","2.31531%","2.31531%"
11/06/2018,"2.31688%","2.31688%","2.31688%","2.31688%"
11/05/2018,"2.31600%","2.31600%","2.31600%","2.31600%"
11/02/2018,"2.31788%","2.31788%","2.31788%","2.31788%"
11/01/2018,"2.31356%","2.31356%","2.31356%","2.31356%"
10/31/2018,"2.30688%","2.30688%","2.30688%","2.30688%"
10/30/2018,"2.29938%","2.29938%","2.29938%","2.29938%"
10/29/2018,"2.30200%","2.30200%","2.30200%","2.30200%"
10/26/2018,"2.29669%","2.29669%","2.29669%","2.29669%"
10/25/2018,"2.29494%","2.29494%","2.29494%","2.29494%"
10/24/2018,"2.29406%","2.29406%","2.29406%","2.29406%"
10/23/2018,"2.28138%","2.28138%","2.28138%","2.28138%"
10/22/2018,"2.28650%","2.28650%","2.28650%","2.28650%"
10/19/2018,"2.28188%","2.28188%","2.28188%","2.28188%"
10/18/2018,"2.27963%","2.27963%","2.27963%","2.27963%"
10/17/2018,"2.28200%","2.28200%","2.28200%","2.28200%"
10/16/2018,"2.28713%","2.28713%","2.28713%","2.28713%"
10/15/2018,"2.28950%","2.28950%","2.28950%","2.28950%"
10/12/2018,"2.27975%","2.27975%","2.27975%","2.27975%"
10/11/2018,"2.27950%","2.27950%","2.27950%","2.27950%"
10/10/2018,"2.28319%","2.28319%","2.28319%","2.28319%"
10/09/2018,"2.28713%","2.28713%","2.28713%","2.28713%"
10/08/2018,"2.28406%","2.28406%","2.28406%","2.28406%"
10/05/2018,"2.27669%","2.27669%","2.27669%","2.27669%"
10/04/2018,"2.28063%","2.28063%","2.28063%","2.28063%"
10/03/2018,"2.27925%","2.27925%","2.27925%","2.27925%"
10/02/2018,"2.27394%","2.27394%","2.27394%","2.27394%"
10/01/2018,"2.26513%","2.26513%","2.26513%","2.26513%"
09/28/2018,"2.26056%","2.26056%","2.26056%","2.26056%"
