Date,Open,High,Low,Close
12/30/2022,"4.31800%","4.31800%","4.31800%","4.31800%"
12/29/2022,"4.31186%","4.31186%","4.31186%","4.31186%"
12/28/2022,"4.31643%","4.31643%","4.31643%","4.31643%"
12/23/2022,"4.31671%","4.31671%","4.31671%","4.31671%"
12/22/2022,"4.31500%","4.31500%","4.31500%","4.31500%"
12/21/2022,"4.32057%","4.32057%","4.32057%","4.32057%"
12/20/2022,"4.31543%","4.31543%","4.31543%","4.31543%"
12/19/2022,"4.32029%","4.32029%","4.32029%","4.32029%"
12/16/2022,"4.31700%","4.31700%","4.31700%","4.31700%"
12/15/2022,"4.31829%","4.31829%","4.31829%","4.31829%"
12/14/2022,"3.81586%","3.81586%","3.81586%","3.81586%"
12/13/2022,"3.81786%","3.81786%","3.81786%","3.81786%"
12/12/2022,"3.81186%","3.81186%","3.81186%","3.81186%"
12/09/2022,"3.81800%","3.81800%","3.81800%","3.81800%"
12/08/2022,"3.82000%","3.82000%","3.82000%","3.82000%"
12/07/2022,"3.82014%","3.82014%","3.82014%","3.82014%"
12/06/2022,"3.81729%","3.81729%","3.81729%","3.81729%"
12/05/2022,"3.81671%","3.81671%","3.81671%","3.81671%"
12/02/2022,"3.81543%","3.81543%","3.81543%","3.81543%"
12/01/2022,"3.82400%","3.82400%","3.82400%","3.82400%"
11/30/2022,"3.82314%","3.82314%","3.82314%","3.82314%"
11/29/2022,"3.81743%","3.81743%","3.81743%","3.81743%"
11/28/2022,"3.81643%","3.81643%","3.81643%","3.81643%"
11/25/2022,"3.81200%","3.81200%","3.81200%","3.81200%"
11/23/2022,"3.81886%","3.81886%","3.81886%","3.81886%"
11/22/2022,"3.81843%","3.81843%","3.81843%","3.81843%"
11/21/2022,"3.81143%","3.81143%","3.81143%","3.81143%"
11/18/2022,"3.81214%","3.81214%","3.81214%","3.81214%"
11/17/2022,"3.81271%","3.81271%","3.81271%","3.81271%"
11/16/2022,"3.81729%","3.81729%","3.81729%","3.81729%"
11/15/2022,"3.81357%","3.81357%","3.81357%","3.81357%"
11/14/2022,"3.81857%","3.81857%","3.81857%","3.81857%"
11/10/2022,"3.81486%","3.81486%","3.81486%","3.81486%"
11/09/2022,"3.81214%","3.81214%","3.81214%","3.81214%"
11/08/2022,"3.81557%","3.81557%","3.81557%","3.81557%"
11/07/2022,"3.81800%","3.81800%","3.81800%","3.81800%"
11/04/2022,"3.81629%","3.81629%","3.81629%","3.81629%"
11/03/2022,"3.81329%","3.81329%","3.81329%","3.81329%"
11/02/2022,"3.06314%","3.06314%","3.06314%","3.06314%"
11/01/2022,"3.05886%","3.05886%","3.05886%","3.05886%"
10/31/2022,"3.06314%","3.06314%","3.06314%","3.06314%"
10/28/2022,"3.06386%","3.06386%","3.06386%","3.06386%"
10/27/2022,"3.06329%","3.06329%","3.06329%","3.06329%"
10/26/2022,"3.06086%","3.06086%","3.06086%","3.06086%"
10/25/2022,"3.06271%","3.06271%","3.06271%","3.06271%"
10/24/2022,"3.06571%","3.06571%","3.06571%","3.06571%"
10/21/2022,"3.06686%","3.06686%","3.06686%","3.06686%"
10/20/2022,"3.06114%","3.06114%","3.06114%","3.06114%"
10/19/2022,"3.06057%","3.06057%","3.06057%","3.06057%"
10/18/2022,"3.06229%","3.06229%","3.06229%","3.06229%"
10/17/2022,"3.06086%","3.06086%","3.06086%","3.06086%"
10/14/2022,"3.06614%","3.06614%","3.06614%","3.06614%"
10/13/2022,"3.06171%","3.06171%","3.06171%","3.06171%"
10/12/2022,"3.06457%","3.06457%","3.06457%","3.06457%"
10/11/2022,"3.05943%","3.05943%","3.05943%","3.05943%"
10/07/2022,"3.06629%","3.06629%","3.06629%","3.06629%"
10/06/2022,"3.05871%","3.05871%","3.05871%","3.05871%"
10/05/2022,"3.05643%","3.05643%","3.05643%","3.05643%"
10/04/2022,"3.06843%","3.06843%","3.06843%","3.06843%"
10/03/2022,"3.06629%","3.06629%","3.06629%","3.06629%"
09/30/2022,"3.06514%","3.06514%","3.06514%","3.06514%"
09/29/2022,"3.06100%","3.06100%","3.06100%","3.06100%"
09/28/2022,"3.06400%","3.06400%","3.06400%","3.06400%"
09/27/2022,"3.06400%","3.06400%","3.06400%","3.06400%"
09/26/2022,"3.06329%","3.06329%","3.06329%","3.06329%"
09/23/2022,"3.06943%","3.06943%","3.06943%","3.06943%"
09/22/2022,"3.07171%","3.07171%","3.07171%","3.07171%"
09/21/2022,"2.31971%","2.31971%","2.31971%","2.31971%"
09/20/2022,"2.31543%","2.31543%","2.31543%","2.31543%"
09/16/2022,"2.31557%","2.31557%","2.31557%","2.31557%"
09/15/2022,"2.32100%","2.32100%","2.32100%","2.32100%"
09/14/2022,"2.32214%","2.32214%","2.32214%","2.32214%"
09/13/2022,"2.31143%","2.31143%","2.31143%","2.31143%"
09/12/2022,"2.31771%","2.31771%","2.31771%","2.31771%"
09/09/2022,"2.31457%","2.31457%","2.31457%","2.31457%"
09/08/2022,"2.31071%","2.31071%","2.31071%","2.31071%"
09/07/2022,"2.31243%","2.31243%","2.31243%","2.31243%"
09/06/2022,"2.31100%","2.31100%","2.31100%","2.31100%"
09/02/2022,"2.31471%","2.31471%","2.31471%","2.31471%"
09/01/2022,"2.32000%","2.32000%","2.32000%","2.32000%"
08/31/2022,"2.31629%","2.31629%","2.31629%","2.31629%"
08/30/2022,"2.30829%","2.30829%","2.30829%","2.30829%"
08/26/2022,"2.30914%","2.30914%","2.30914%","2.30914%"
08/25/2022,"2.32043%","2.32043%","2.32043%","2.32043%"
08/24/2022,"2.32143%","2.32143%","2.32143%","2.32143%"
08/23/2022,"2.31257%","2.31257%","2.31257%","2.31257%"
08/22/2022,"2.31714%","2.31714%","2.31714%","2.31714%"
08/19/2022,"2.32114%","2.32114%","2.32114%","2.32114%"
08/18/2022,"2.31786%","2.31786%","2.31786%","2.31786%"
08/17/2022,"2.31357%","2.31357%","2.31357%","2.31357%"
08/16/2022,"2.32229%","2.32229%","2.32229%","2.32229%"
08/15/2022,"2.31886%","2.31886%","2.31886%","2.31886%"
08/12/2022,"2.31486%","2.31486%","2.31486%","2.31486%"
08/11/2022,"2.32400%","2.32400%","2.32400%","2.32400%"
08/10/2022,"2.31629%","2.31629%","2.31629%","2.31629%"
08/09/2022,"2.31800%","2.31800%","2.31800%","2.31800%"
08/08/2022,"2.31729%","2.31729%","2.31729%","2.31729%"
08/05/2022,"2.31200%","2.31200%","2.31200%","2.31200%"
08/04/2022,"2.30957%","2.30957%","2.30957%","2.30957%"
08/03/2022,"2.31029%","2.31029%","2.31029%","2.31029%"
08/02/2022,"2.30714%","2.30714%","2.30714%","2.30714%"
08/01/2022,"2.31157%","2.31157%","2.31157%","2.31157%"
07/29/2022,"2.32157%","2.32157%","2.32157%","2.32157%"
07/28/2022,"2.30343%","2.30343%","2.30343%","2.30343%"
07/27/2022,"1.56343%","1.56343%","1.56343%","1.56343%"
07/26/2022,"1.55943%","1.55943%","1.55943%","1.55943%"
07/25/2022,"1.56586%","1.56586%","1.56586%","1.56586%"
07/22/2022,"1.56457%","1.56457%","1.56457%","1.56457%"
07/21/2022,"1.56571%","1.56571%","1.56571%","1.56571%"
07/20/2022,"1.56914%","1.56914%","1.56914%","1.56914%"
07/19/2022,"1.56214%","1.56214%","1.56214%","1.56214%"
07/18/2022,"1.57014%","1.57014%","1.57014%","1.57014%"
07/15/2022,"1.56514%","1.56514%","1.56514%","1.56514%"
07/14/2022,"1.55814%","1.55814%","1.55814%","1.55814%"
07/13/2022,"1.56129%","1.56129%","1.56129%","1.56129%"
07/12/2022,"1.56829%","1.56829%","1.56829%","1.56829%"
