Date,Open,High,Low,Close
12/30/2022,"5.48214%","5.48214%","5.48214%","5.48214%"
12/29/2022,"5.44257%","5.44257%","5.44257%","5.44257%"
12/28/2022,"5.47029%","5.47029%","5.47029%","5.47029%"
12/27/2022,"5.44386%","5.44386%","5.44386%","5.44386%"
12/23/2022,"5.44386%","5.44386%","5.44386%","5.44386%"
12/22/2022,"5.41586%","5.41586%","5.41586%","5.41586%"
12/21/2022,"5.43143%","5.43143%","5.43143%","5.43143%"
12/20/2022,"5.45871%","5.45871%","5.45871%","5.45871%"
12/19/2022,"5.42771%","5.42771%","5.42771%","5.42771%"
12/16/2022,"5.47886%","5.47886%","5.47886%","5.47886%"
12/15/2022,"5.46729%","5.46729%","5.46729%","5.46729%"
12/14/2022,"5.40686%","5.40686%","5.40686%","5.40686%"
12/13/2022,"5.55129%","5.55129%","5.55129%","5.55129%"
12/12/2022,"5.52557%","5.52557%","5.52557%","5.52557%"
12/09/2022,"5.49943%","5.49943%","5.49943%","5.49943%"
12/08/2022,"5.50043%","5.50043%","5.50043%","5.50043%"
12/07/2022,"5.52457%","5.52457%","5.52457%","5.52457%"
12/06/2022,"5.56414%","5.56414%","5.56414%","5.56414%"
12/05/2022,"5.51243%","5.51243%","5.51243%","5.51243%"
12/02/2022,"5.42943%","5.42943%","5.42943%","5.42943%"
12/01/2022,"5.49471%","5.49471%","5.49471%","5.49471%"
11/30/2022,"5.57157%","5.57157%","5.57157%","5.57157%"
11/29/2022,"5.55343%","5.55343%","5.55343%","5.55343%"
11/28/2022,"5.57214%","5.57214%","5.57214%","5.57214%"
11/25/2022,"5.59800%","5.59800%","5.59800%","5.59800%"
11/24/2022,"5.56014%","5.56014%","5.56014%","5.56014%"
11/23/2022,"5.63886%","5.63886%","5.63886%","5.63886%"
11/22/2022,"5.57886%","5.57886%","5.57886%","5.57886%"
11/21/2022,"5.56586%","5.56586%","5.56586%","5.56586%"
11/18/2022,"5.50943%","5.50943%","5.50943%","5.50943%"
11/17/2022,"5.45786%","5.45786%","5.45786%","5.45786%"
11/16/2022,"5.46486%","5.46486%","5.46486%","5.46486%"
11/15/2022,"5.46014%","5.46014%","5.46014%","5.46014%"
11/14/2022,"5.48357%","5.48357%","5.48357%","5.48357%"
11/11/2022,"5.45129%","5.45129%","5.45129%","5.45129%"
11/10/2022,"5.63129%","5.63129%","5.63129%","5.63129%"
11/09/2022,"5.63286%","5.63286%","5.63286%","5.63286%"
11/08/2022,"5.64029%","5.64029%","5.64029%","5.64029%"
11/07/2022,"5.61214%","5.61214%","5.61214%","5.61214%"
11/04/2022,"5.66643%","5.66643%","5.66643%","5.66643%"
11/03/2022,"5.65357%","5.65357%","5.65357%","5.65357%"
11/02/2022,"5.53600%","5.53600%","5.53600%","5.53600%"
11/01/2022,"5.44543%","5.44543%","5.44543%","5.44543%"
10/31/2022,"5.44829%","5.44829%","5.44829%","5.44829%"
